id,release_date,original_title,title
25752,1999-10-19,Children of the Corn 666: Isaac's Return,Children of the Corn 666: Isaac's Return
29778,1968-11-07,Dracula Has Risen from the Grave,Dracula Has Risen from the Grave
33020,1972-06-26,Dracula A.D. 1972,Dracula A.D. 1972
39965,1976-05-07,Emanuelle nera: Orient reportage,Emanuelle in Bangkok
3146,1966-07-31,フランケンシュタインの怪獣 サンダ対ガイラ,The War of the Gargantuas
117123,1947-05-20,Dick Tracy's Dilemma,Dick Tracy's Dilemma
79547,1964-06-24,Flipper's New Adventure,Flipper's New Adventure
43821,1940-08-10,The Return of Frank James,The Return of Frank James
13965,1988-03-24,The Man From Snowy River II,The Man From Snowy River II
79761,1929-02-21,The Iron Mask,The Iron Mask
17991,1992-10-03,鉄男II BODY HAMMER,Tetsuo II: Body Hammer
16693,1962-10-12,続・座頭市物語,The Tale of Zatoichi Continues
201938,1995-09-26,Prehysteria! 3,Prehysteria! 3
179631,1981-01-31,魔劍俠情,Return of the Sentimental Swordsman
60159,1999-03-06,ガメラ3 邪神＜イリス＞覚醒,Gamera 3: Revenge of Iris
14212,2008-09-30,Pulse 2: Afterlife,Pulse 2: Afterlife
41848,1990-05-07,The Amityville Curse,The Amityville Curse
40761,1955-05-13,Revenge of the Creature,Revenge of the Creature
18624,1963-11-30,座頭市喧嘩旅,Zatoichi on the Road
26044,1988-07-08,Arthur 2: On the Rocks,Arthur 2: On the Rocks
26278,1957-05-24,Quatermass 2,Quatermass 2
3103,1944-12-01,House of Frankenstein,House of Frankenstein
49684,1987-05-27,It's Alive III: Island of the Alive,It's Alive III: Island of the Alive
51881,1986-07-26,The Parent Trap II,The Parent Trap II
38500,1988-11-01,Howling IV: The Original Nightmare,Howling IV: The Original Nightmare
201003,1965-09-10,La Familia Y Uno Más,The Family and One More
64078,1945-06-01,The Frozen Ghost,The Frozen Ghost
28857,1966-08-13,大魔神怒る,Return of Giant Majin
53429,1922-04-02,Pay Day,Pay Day
82372,1969-12-19,Il Prof. Dott. Guido Tersilli primario della Clinica Villa Celeste convenzionata con la Mutua,Medicine Italian Style
18511,1963-08-09,座頭市兇状旅,Zatoichi the Fugitive
21708,2003-09-05,조폭 마누라 2: 돌아온 전설,My Wife Is A Gangster 2
26947,1969-03-21,ガメラ対大悪獣ギロン,Gamera vs. Guiron
10898,2000-01-23,The Little Mermaid II: Return to the Sea,The Little Mermaid II: Return to the Sea
3688,1990-07-11,Flesh Gordon Meets the Cosmic Cheerleaders,Flesh Gordon Meets the Cosmic Cheerleaders
3127,1958-06-13,The Revenge of Frankenstein,The Revenge of Frankenstein
9834,2006-02-15,The Net 2.0,The Net 2.0
42476,1972-06-23,Ben,Ben
3074,1942-03-13,The Ghost of Frankenstein,The Ghost of Frankenstein
9706,1998-01-31,らせん,The Spiral
107096,1996-06-18,Nemesis 3: Time Lapse,Nemesis 3: Time Lapse
33301,1976-09-01,Confessions of a Driving Instructor,Confessions of a Driving Instructor
84152,1993-08-13,Dollman vs. Demonic Toys,Dollman vs. Demonic Toys
30554,1993-04-04,When a Stranger Calls Back,When a Stranger Calls Back
22899,1966-04-17,大怪獣決闘 ガメラ対バルゴン,Gamera vs. Barugon
34131,1968-03-20,ガメラ対宇宙怪獣バイラス,Gamera vs. Viras
26954,1990-02-07,Puppet Master II,Puppet Master II
53150,1989-05-05,C.H.U.D. II: Bud the Chud,C.H.U.D. II: Bud the Chud
76350,1986-05-13,"Un homme et une femme, 20 ans déjà",A Man and a Woman: 20 Years Later
70327,1970-03-21,ガメラ対大魔獣ジャイガー,Gamera vs. Jiger
59871,1982-06-01,Messo comunale praticamente spione,Emanuelle in the Country
24883,1983-03-25,The Black Stallion Returns,The Black Stallion Returns
22623,2003-12-10,Ripoux 3,My New Partner III
10841,1979-03-01,Steiner - Das Eiserne Kreuz Teil II,Breakthrough
52315,1993-08-25,Chained Heat 2,Chained Heat 2
47360,1988-01-01,Deathstalker and the Warriors from Hell,Deathstalker and the Warriors from Hell
59480,1996-07-12,ガメラ2 レギオン襲来,Gamera 2: Attack of Legion
42589,1970-04-27,"Hi, Mom!","Hi, Mom!"
57635,1980-03-15,火の鳥2772 愛のコスモゾーン,Phoenix 2772
201937,1994-11-09,Prehysteria! 2,Prehysteria! 2
11135,1990-11-16,The Rescuers Down Under,The Rescuers Down Under
26962,2004-12-18,Puppet Master vs Demonic Toys,Puppet Master vs Demonic Toys
36912,1983-02-18,The Sting II,The Sting II
222336,1990-08-22,Silk 2,Silk 2
34905,1975-01-01,Confessions of a Pop Performer,Confessions of a Pop Performer
40773,1992-03-06,Meatballs 4: To the Rescue,Meatballs 4: To the Rescue
62742,1955-08-24,Francis in the Navy,Francis in the Navy
10939,1974-11-12,Le Retour du Grand Blond,The Return of the Tall Blond Man with One Black Shoe
40585,1977-11-09,Nous irons tous au paradis,We Will All Meet in Paradise
29906,1981-04-08,El retorno del Hombre Lobo,Night of the Werewolf
44453,1965-07-07,Merveilleuse Angélique,Angelique: The Road To Versailles
59762,1990-11-21,Silent Night Deadly Night 4: Initiation,Silent Night Deadly Night 4: Initiation
76171,1999-12-27,Turbulence 2: Fear of Flying,Turbulence 2: Fear of Flying
40570,1972-06-02,Mutiny on the Buses,Mutiny on the Buses
28856,1966-12-10,大魔神逆襲,Wrath of Daimajin
28912,1966-07-15,I criminali della galassia,"The Wild, Wild Planet"
31498,1940-09-20,The Mummy's Hand,The Mummy's Hand
26042,1999-10-12,Warlock III: The End of Innocence,Warlock III: The End of Innocence
207376,1995-07-11,Thunder in Paradise 3,Thunder in Paradise 3
166890,1977-11-27,The Return of the Incredible Hulk,The Return of the Incredible Hulk
132001,1979-10-08,Perros callejeros II,Street Warriors II
40729,1990-05-24,Gate II,Gate II
63031,1988-12-24,福星闖江湖,Return of the Lucky Stars
70984,1991-11-06,"Silent Night, Deadly Night 5: The Toy Maker","Silent Night, Deadly Night 5: The Toy Maker"
178537,2008-07-09,ゲゲゲの鬼太郎 千年呪い歌,Kitaro and the Millennium Curse
62036,1959-12-19,Audace colpo dei soliti ignoti,Fiasco in Milan
40771,1984-07-27,Meatballs: Part II,Meatballs: Part II
40147,1997-10-07,Night of the Demons III,Night of the Demons III
207641,1994-05-14,Project Shadowchaser II,Project Shadowchaser II
39927,2000-05-13,Freeway II: Confessions of a Trickbaby,Freeway II: Confessions of a Trickbaby
52021,1994-02-16,Bloodlust: Subspecies III,Bloodlust: Subspecies III
27840,2004-10-26,Mark of the Astro-Zombies,Mark of the Astro-Zombies
47363,1991-07-13,Deathstalker IV: Match of Titans,Deathstalker IV: Match of Titans
61802,1991-10-01,Martial Law II: Undercover,Martial Law II: Undercover
12585,1988-08-18,Summertime Blues: Lemon Popsicle VIII,Summertime Blues
52728,1967-03-15,大怪獣空中戦 ガメラ対ギャオス,Gamera vs. Gyaos
51925,1982-03-10,Les Sous-Doués En Vacances,The Under-Gifted In Vacation
18510,1963-03-15,新・座頭市物語,New Tale of Zatoichi
301903,1981-04-30,Perro callejero 2,Perro callejero 2
198302,1976-01-29,Il  vangelo secondo Simone e Matteo,The Diamond Peddlers
49516,2002-12-24,黑俠2,Black Mask 2: City of Masks
34742,1991-05-23,Rock 'n' Roll High School Forever,Rock 'n' Roll High School Forever
52017,1993-04-20,Bloodstone: Subspecies II,Bloodstone: Subspecies II
44191,1985-08-01,Loose Screws,Loose Screws
42709,1989-11-09,"Silent Night, Deadly Night 3: Better Watch Out!","Silent Night, Deadly Night 3: Better Watch Out!"
182373,1995-05-14,The Rockford Files: A Blessing in Disguise,The Rockford Files: A Blessing in Disguise
173740,1972-12-29,Blutjunge Verführerinnen 3. Teil,The Calendar Girls
39408,1956-04-26,The Creature Walks Among Us,The Creature Walks Among Us
164693,1973-11-17,The Six Million Dollar Man: The Solid Gold Kidnapping,The Six Million Dollar Man: The Solid Gold Kidnapping
28855,1971-08-18,The Return of Count Yorga,The Return of Count Yorga
