id,release_date,original_title,title,Wikipedia movie ID
10885,2008-03-21,Shutter,Shutter,9019720
2020,1999-11-05,The Bachelor,The Bachelor,3755662
479,2000-06-15,Shaft,Shaft,973155
20483,2004-02-06,Catch That Kid,Catch That Kid,443917
9291,2005-05-27,The Longest Yard,The Longest Yard,3326231
82,2006-07-27,Miami Vice,Miami Vice,2574924
19185,1990-10-19,Night of the Living Dead,Night of the Living Dead,1254881
9833,2004-12-08,The Phantom of the Opera,The Phantom of the Opera,308856
18405,2009-03-13,The Last House on the Left,The Last House on the Left,21001056
574,1956-05-16,The Man Who Knew Too Much,The Man Who Knew Too Much,2345044
1975,2006-10-12,The Grudge 2,The Grudge 2,3226774
10200,2008-12-10,The Day the Earth Stood Still,The Day the Earth Stood Still,14733483
9560,1995-05-27,A Walk in the Clouds,A Walk in the Clouds,169220
11838,2002-10-18,呪怨,Ju-on: The Grudge,2033359
503,2006-05-03,Poseidon,Poseidon,2688309
9574,1997-11-26,Flubber,Flubber,1344253
2135,2002-03-04,The Time Machine,The Time Machine,3759215
56715,2001-04-06,Just Visiting,Just Visiting,2932389
15137,2007-09-01,ヱヴァンゲリヲン新劇場版：序,Evangelion: 1.0 You Are (Not) Alone,13083579
791,2005-10-14,The Fog,The Fog,2918858
6878,1993-02-03,Homeward Bound: The Incredible Journey,Homeward Bound: The Incredible Journey,1212256
9599,1988-08-05,The Blob,The Blob,2521806
7552,2005-12-21,Fun with Dick and Jane,Fun with Dick and Jane,2763180
10320,2005-03-10,The Ring Two,The Ring Two,2542052
11007,2003-12-24,Cheaper by the Dozen,Cheaper by the Dozen,456588
9313,1998-03-12,The Man in the Iron Mask,The Man in the Iron Mask,5169996
12185,1978-06-28,Heaven Can Wait,Heaven Can Wait,103018
9656,2006-12-15,Black Christmas,Black Christmas,5444993
1598,1991-11-13,Cape Fear,Cape Fear,171026
3036,1994-11-04,Mary Shelley's Frankenstein,Mary Shelley's Frankenstein,1246394
10083,1987-08-14,No Way Out,No Way Out,886560
320,2002-05-24,Insomnia,Insomnia,4760936
19025,2007-10-12,भूल भुलैया,Bhool Bhulaiyaa,10198223
10776,1986-12-19,Little Shop of Horrors,Little Shop of Horrors,3447166
4722,1993-06-09,Body Snatchers,Body Snatchers,5735467
11850,1978-12-20,Invasion of the Body Snatchers,Invasion of the Body Snatchers,5735396
15301,1983-06-24,Twilight Zone: The Movie,Twilight Zone: The Movie,1318335
14784,2008-01-03,The Fall,The Fall,27941350
13515,2008-08-15,Mirrors,Mirrors,19958360
31608,1989-01-27,Three Fugitives,Three Fugitives,6465014
1636,2000-10-19,Bedazzled,Bedazzled,1113205
11358,2004-04-02,Walking Tall,Walking Tall,7224803
10007,2006-05-19,See No Evil,See No Evil,1278575
36914,1987-10-02,Like Father Like Son,Like Father Like Son,8897338
37254,2001-12-20,Mermaid Chronicles Part 1: She Creature,Mermaid Chronicles Part 1: She Creature,5033320
11000,1996-03-08,The Birdcage,The Birdcage,239589
8879,1985-06-28,Pale Rider,Pale Rider,250012
18487,2009-06-10,The Taking of Pelham 1 2 3,The Taking of Pelham 1 2 3,16166559
2212,1997-01-31,Nightwatch,Nightwatch,1624928
8487,1999-06-30,Wild Wild West,Wild Wild West,244610
9038,2007-10-05,The Heartbreak Kid,The Heartbreak Kid,11530657
29101,2005-02-03,Vet Hard,Too Fat Too Furious,13837296
46845,1971-11-24,Man in the Wilderness,Man in the Wilderness,339403
28512,2005-11-20,The Poseidon Adventure,The Poseidon Adventure,5096585
20534,2004-04-02,Murder,Murder,2157529
16007,2006-06-17,デスノート,Death Note,10736919
4520,2007-10-12,Sleuth,Sleuth,11671832
10461,2000-10-06,Get Carter,Get Carter,1693867
14254,2009-01-30,The Uninvited,The Uninvited,13114104
9708,2006-08-31,The Wicker Man,The Wicker Man,5515243
8978,2005-01-19,Assault on Precinct 13,Assault on Precinct 13,1399043
14435,2009-01-16,My Bloody Valentine,My Bloody Valentine,3771276
12219,1997-08-17,12 Angry Men,12 Angry Men,11081144
6933,2008-01-04,One Missed Call,One Missed Call,5191439
8408,1985-07-03,Day of the Dead,Day of the Dead,63310
46918,1959-11-17,浮草,Floating Weeds,172083
20521,2006-03-29,Reefer Madness: The Movie Musical,Reefer Madness: The Movie Musical,3383213
9822,1998-12-25,Mighty Joe Young,Mighty Joe Young,6121312
15917,2002-07-11,देवदास,Devdas,6468431
46717,1994-01-21,Intersection,Intersection,1977161
11026,2004-08-20,Exorcist: The Beginning,Exorcist: The Beginning,919546
28752,1961-05-01,The Curse of the Werewolf,The Curse of the Werewolf,2093581
11859,1995-11-03,Fair Game,Fair Game,1676282
7342,2002-11-04,Carrie,Carrie,8526754
11064,1985-05-22,Brewster's Millions,Brewster's Millions,6312980
11846,1991-12-20,Father of the Bride,Father of the Bride,773089
13184,2008-08-21,Bangkok Dangerous,Bangkok Dangerous,5884079
20364,2004-11-26,Hulchul,Hulchul,5274269
11027,1981-03-20,The Postman Always Rings Twice,The Postman Always Rings Twice,5429460
12700,2005-05-20,Dominion: Prequel to The Exorcist,Dominion: Prequel to The Exorcist,3326231
46330,1962-06-25,The Phantom of the Opera,The Phantom of the Opera,4029751
29070,1966-03-02,Blood Bath,Blood Bath,171690
11377,1999-10-29,House on Haunted Hill,House on Haunted Hill,947616
6217,1982-04-02,Cat People,Cat People,1056696
27088,1982-06-26,The Last American Virgin,The Last American Virgin,1056696
9009,2005-07-08,Dark Water,Dark Water,1952976
28768,1988-06-22,Faceless,Faceless,19873611
16061,2008-10-04,東京残酷警察,Tokyo Gore Police,17516655
8333,1974-10-02,The Taking of Pelham One Two Three,The Taking of Pelham One Two Three,955409
38985,1977-06-24,Sorcerer,Sorcerer,447139
10593,1998-11-20,Il fantasma dell'Opera,The Phantom of the Opera,8602643
13812,2008-10-10,Quarantine,Quarantine,16794053
63647,2004-04-17,கில்லி,Ghilli,4780869
9785,2007-04-27,The Invisible,The Invisible,3703666
26688,2009-09-09,Sorority Row,Sorority Row,19457040
10498,1993-03-19,Point of No Return,Point of No Return,209549
14197,2008-05-26,My Sassy Girl,My Sassy Girl,9379703
1534,2007-01-11,Pathfinder,Pathfinder,5858177
17501,2006-10-20,डॉन,Don,70520994
33521,1979-07-20,Dracula,Dracula,1048695
31676,1990-10-05,Desperate Hours,Desperate Hours,7873210
9030,2008-02-01,The Eye,The Eye,10398987
5146,2003-05-23,The In-Laws,The In-Laws,8764467
9306,1996-08-23,The Island of Dr. Moreau,The Island of Dr. Moreau,19875689
11862,1995-12-08,Father of the Bride Part II,Father of the Bride Part II,3303622
20735,1997-02-14,That Darn Cat,That Darn Cat,1204655
28770,1959-06-15,The Man Who Could Cheat Death,The Man Who Could Cheat Death,11089906
24070,1994-12-21,Mixed Nuts,Mixed Nuts,171019
26932,1977-07-13,The Island of Dr. Moreau,The Island of Dr. Moreau,5480913
1644,1993-02-05,The Vanishing,The Vanishing,692785
18916,2008-01-01,L'Emmerdeur,A Pain in the Ass,78519606
8461,2008-03-14,Funny Games,Funny Games,9776644
8398,2007-01-19,The Hitcher,The Hitcher,8069903
8849,2004-10-22,Alfie,Alfie,1091346
9682,2006-08-11,Pulse,Pulse,2903396
18573,1953-04-16,House of Wax,House of Wax,961796
25892,1965-02-22,Cinderella,Cinderella,23666645
3111,1954-10-01,A Star Is Born,A Star Is Born,3450570
15855,1943-08-12,Phantom of the Opera,Phantom of the Opera,1271371
28969,2009-02-27,The Velveteen Rabbit,The Velveteen Rabbit,23810915
27511,1924-12-22,He Who Gets Slapped,He Who Gets Slapped,2542546
28431,1952-11-04,The Prisoner of Zenda,The Prisoner of Zenda,9287656
45914,2005-04-02,The Quatermass Experiment,The Quatermass Experiment,19216899
199514,1950-01-28,Doña Diabla,The Devil Is a Woman,21046009
24795,1994-07-15,Angels in the Outfield,Angels in the Outfield,2949827
11352,1989-12-22,Always,Always,848218
10955,2002-09-02,Ripley's Game,Ripley's Game,5823793
9666,2003-08-15,呪怨2,Ju-on: The Grudge 2,3614997
3079,1957-05-20,The Curse of Frankenstein,The Curse of Frankenstein,1785123
31696,1991-04-26,A Kiss Before Dying,A Kiss Before Dying,1667210
22998,1983-12-16,To Be or Not to Be,To Be or Not to Be,4057650
905,1929-01-30,Die Büchse der Pandora,Pandora's Box,457578
79982,1997-07-18,हां बॉस,Yes Boss,1582009
121230,1946-05-05,The Virginian,The Virginian,8949502
38602,1980-12-01,Little Lord Fauntleroy,Little Lord Fauntleroy,28839628
1914,2006-04-26,FC Venus,FC Venus,33391353
19611,2008-09-25,保持通話,Connected,19111900
36174,2002-12-26,"Goodbye, Mr. Chips","Goodbye, Mr. Chips",62113
8617,2008-04-10,Prom Night,Prom Night,11901104
5971,1989-06-02,We're No Angels,We're No Angels,10587298
222858,1995-09-12,A Bucket of Blood,A Bucket of Blood,5590094
347701,2008-07-17,High School Musical: El Desafío,Viva High School Musical: Mexico,22657757
30584,1984-08-17,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,4702014
33788,2009-07-16,Possession,Possession,11924028
94533,1958-09-03,The Badlanders,The Badlanders,5080311
37559,2003-06-20,Fanfan la tulipe,Fan-Fan the Tulip,18933383
19636,2005-11-03,गरम मसाला,Garam Masala,2782570
25166,2000-03-03,Drowning Mona,Drowning Mona,1939585
71655,1955-01-27,Escuela de vagabundos,School for Tramps,172090
11370,2001-09-07,The Musketeer,The Musketeer,1582661
31909,1986-06-06,Invaders from Mars,Invaders from Mars,11611427
16764,2004-11-12,Toolbox Murders,Toolbox Murders,2325197
11807,2007-10-26,जब वी मेट,Jab We Met,9803762
63088,1967-10-20,The Eye Creatures,The Eye Creatures,6302125
45437,1991-08-17,黑貓,Black Cat,35622654
20971,2006-01-12,Zinda,Zinda,3626312
39287,1966-04-21,Stagecoach,Stagecoach,12784585
16345,2009-02-13,बिल्लू,Billu,16435377
13440,2002-10-25,The Truth About Charlie,The Truth About Charlie,18618751
46525,1956-09-07,Back from Eternity,Back from Eternity,14373082
281444,1988-04-10,Red River,Red River,171292
10389,2002-05-09,見鬼,The Eye,3511710
25386,1959-03-13,The 39 Steps,The 39 Steps,4002677
31674,1989-02-10,Cousins,Cousins,576204
64255,2001-05-08,Carmen: A Hip Hopera,Carmen: A Hip Hopera,649716
54544,2001-02-28,Un crime au Paradis,A Crime in Paradise,29163555
9941,1986-01-31,Down and Out in Beverly Hills,Down and Out in Beverly Hills,1472852
46500,1984-09-07,The Warrior and the Sorceress,The Warrior and the Sorceress,5893524
55658,1986-07-23,एक रुका हुआ फैसला,Ek Ruka Hua Faisla,11094452
20646,2002-06-22,新・仁義の墓場,Graveyard of Honor,9244831
86962,1989-11-04,The Phantom of the Opera,The Phantom of the Opera,1673325
185090,1981-09-12,白日夢,Day Dream,28978870
279984,1986-01-05,The Defiant Ones,The Defiant Ones,57023884
13637,2007-09-15,Sukiyaki Western Django,Sukiyaki Western Django,9013587
11103,1996-11-07,Head Above Water,Head Above Water,2182638
59897,1984-04-06,Where the Boys Are,Where the Boys Are,31629
418956,1939-04-07,The Ugly Duckling,The Ugly Duckling,15356947
34014,1988-09-09,Moon Over Parador,Moon Over Parador,3328529
121518,1988-05-20,I Saw What You Did,I Saw What You Did,23805173
53441,1955-08-25,You're Never Too Young,You're Never Too Young,76040
22657,1938-01-16,Algiers,Algiers,1345561
9260,2002-10-04,Welcome to Collinwood,Welcome to Collinwood,4940876
30944,2000-05-28,On the Beach,On the Beach,10705531
37576,1999-06-12,링,The Ring Virus,2704374
74629,1994-09-28,Attack of the 50 Ft. Woman,Attack of the 50 Ft. Woman,20964770
28292,1936-02-20,Follow the Fleet,Follow the Fleet,172443
86182,1978-11-01,The Cat and the Canary,The Cat and the Canary,8283579
8970,1999-04-02,The Out-of-Towners,The Out-of-Towners,5384642
23174,2009-08-15,It's Alive,It's Alive,18225554
5319,1999-06-18,हम दिल दे चुके सनम,Hum Dil De Chuke Sanam,1792621
38473,2008-07-05,火垂るの墓,Tombstone of the Fireflies,182164
15084,2005-09-09,Salaam Namaste,Salaam Namaste,2307251
25338,1978-09-07,The Silent Partner,The Silent Partner,5478740
48613,1989-01-02,La maschera del demonio,The Mask of Satan,602884
6071,1995-04-21,Kiss of Death,Kiss of Death,616786
12614,1982-04-25,Victor/Victoria,Victor/Victoria,242525
62132,1987-07-24,Blood Diner,Blood Diner,10575183
1815,1978-03-13,The Big Sleep,The Big Sleep,1645634
43121,1958-04-21,無法松の一生,The Rickshaw Man,172085
45628,1948-04-01,Casbah,Casbah,21772949
8414,2007-07-13,Interview,Interview,6177577
33738,1949-03-09,Take Me Out to the Ball Game,Take Me Out to the Ball Game,17519548
91217,1990-02-02,Men Don't Leave,Men Don't Leave,15114837
5972,1982-12-04,Witness for the Prosecution,Witness for the Prosecution,21651686
336748,2004-09-18,Le silence de la mer,Silence of the Sea,54110371
4542,1964-12-18,Emil and the Detectives,Emil and the Detectives,35284698
53122,2005-04-14,சந்திரமுகி,Chandramukhi,1114328
43120,1958-11-15,Missile to the Moon,Missile to the Moon,640643
54148,2003-09-19,Días de fútbol,Soccer Days,647757
23767,2007-12-14,பில்லா,Billa,8332992
23691,2006-10-22,The Initiation of Sarah,The Initiation of Sarah,5331654
119308,2007-08-13,Hasta el viento tiene miedo,The Wind of Fear,76634
36852,1995-12-03,Bye Bye Birdie,Bye Bye Birdie,63714530
47698,1974-01-01,Great Expectations,Great Expectations,10839407
120357,1936-09-25,Craig's Wife,Craig's Wife,24706815
141871,1955-12-14,The Miracle on 34th Street,The Miracle on 34th Street,80523
369608,1994-11-10,人魚傳說,Mermaid Got Married,19936431
42511,1921-12-28,Orphans of the Storm,Orphans of the Storm,172497
161179,2002-09-20,Shakti: The Power,Shakti: The Power,5177364
46618,2006-11-02,Umrao Jaan,Umrao Jaan,5696691
22448,2007-06-29,आवारापन,Awarapan,10999486
42193,1968-04-10,The Charge of the Light Brigade,The Charge of the Light Brigade,5467488
25876,1951-10-25,The Racket,The Racket,2255810
180715,1949-04-27,Red Canyon,Red Canyon,34317120
183039,1936-05-20,Broken Blossoms,Broken Blossoms,28678178
3165,1981-11-27,Frankenstein Island,Frankenstein Island,21371379
40341,1998-08-21,Carnival of Souls,Carnival of Souls,16674680
82775,1943-03-12,El circo,El circo,50445142
109133,1962-05-25,The Cabinet of Caligari,The Cabinet of Caligari,171697
43340,1954-12-01,Young at Heart,Young at Heart,2771792
27197,1963-01-13,雪之丞変化,An Actor's Revenge,20379620
63671,2004-07-30,ఘర్షణ,Gharshana,6004920
68430,1991-09-18,Paradise,Paradise,4446720
48202,1961-06-01,Creature from the Haunted Sea,Creature from the Haunted Sea,5315438
19418,2007-09-14,ढोल,Dhol,12867966
265710,1989-06-24,忠義群英,Seven Warriors,1623500
49130,1971-08-26,Nella stretta morsa del ragno,Web of the Spider,2911536
33206,2008-06-13,Mere Baap Pehle Aap,Mere Baap Pehle Aap,16054110
61369,1932-10-12,Rain,Rain,2559713
190474,1961-11-27,The Hellions,The Hellions,5568119
107678,1958-05-10,Violent Road,Violent Road,2187671
348052,1996-02-16,Papi Gudia,Papi Gudia,15462142
69928,1983-12-18,The Man Who Loved Women,The Man Who Loved Women,3375303
177923,2001-03-23,W pustyni i w puszczy,In Desert and Wilderness,32736894
375569,2004-03-03,Kingdom Hospital,Kingdom Hospital,451817
27504,1930-07-12,The Unholy Three,The Unholy Three,16780427
151848,1936-10-14,The Garden of Allah,The Garden of Allah,7509120
44626,1947-05-28,The Long Night,The Long Night,1662366
85609,1964-10-07,The Outrage,The Outrage,4836072
188423,1908-01-31,Excursion dans la lune,Excursion to the Moon,172513
119694,1996-08-08,The Sunshine Boys,The Sunshine Boys,43326577
29605,1940-11-15,One Night in the Tropics,One Night in the Tropics,172421
28637,1932-09-06,Unheimliche Geschichten,The Living Dead,73494
29577,1951-04-20,On the Riviera,On the Riviera,172095
314370,1998-02-01,The Taking of Pelham One Two Three,The Taking of Pelham One Two Three,9431893
1014216,1976-07-28,Woman of the Year,Woman of the Year,76641
139246,1907-02-23,The Haunted Hotel,The Haunted Hotel,172514
76465,1941-02-21,The Strawberry Blonde,The Strawberry Blonde,172418
39506,1965-02-27,春婦伝,Story of a Prostitute,2175456
191782,1951-08-01,Peking Express,Peking Express,8130293
127777,1895-12-28,Les forgerons,The Blacksmiths,196703
320919,1967-03-14,Winchester '73,Winchester '73,171689
161212,2005-11-03,क्योंकि,Kyon Ki...,3186031
97519,1973-03-14,Lost Horizon,Lost Horizon,445937
51216,1998-06-19,ग़ुलाम,Ghulam,1765930
297302,1980-07-23,Katorse,Katorse,23917676
118843,1991-01-01,Pyar Hua Chori Chori,Pyar Hua Chori Chori,29473043
95943,1934-05-14,The Road to Ruin,The Road to Ruin,10172502
110683,1983-04-21,The Wicked Lady,The Wicked Lady,23205095
67154,1941-08-11,Orphans' Benefit,Orphans' Benefit,3227113
170261,1980-10-31,The Legend of Sleepy Hollow,The Legend of Sleepy Hollow,39832820
205827,1994-09-23,Reform School Girl,Reform School Girl,42953757
368666,1992-01-28,Notorious,Notorious,2374998
209924,1941-05-16,I'll Wait for You,I'll Wait for You,44543377
288512,1938-07-27,I'll Give a Million,I'll Give a Million,44806560
143170,1948-11-20,That Wonderful Urge,That Wonderful Urge,23813404
201074,1948-11-10,When My Baby Smiles at Me,When My Baby Smiles at Me,26202408
162572,1931-05-26,Up for Murder,Up for Murder,6554925
80133,1993-09-10,La Lola se va a los puertos,La Lola se va a los puertos,10601464
93630,1968-02-01,Curse of the Swamp Creature,Curse of the Swamp Creature,26724867
15978,2005-05-20,Naina,Naina,1896242
109235,1946-03-21,The Kid from Brooklyn,The Kid from Brooklyn,172405
51560,1976-07-29,Oz,Twentieth Century Oz,53719379
80227,2004-07-14,Kannadi Pookal,Kannadi Pookal,16179398
104460,1896-01-01,Une partie de cartes,Playing Cards,34573948
71098,1943-06-05,Jitterbugs,Jitterbugs,5606938
120629,1982-06-26,화녀 '82,Woman of Fire '82,15314787
678027,1981-09-17,La leyenda del tambor,La leyenda del tambor,8663701
76269,1955-12-26,Storm Over the Nile,Storm Over the Nile,172090
21984,1982-03-05,अंगूर,Angoor,2225079
63819,2003-11-21,குறும்பு,Kurumbu,16167835
89160,1954-06-08,Father Brown,Father Brown,12888902
29705,1935-10-27,The Tunnel,The Tunnel,16613205
16487,1995-12-25,The Spirit of Christmas,The Spirit of Christmas,23684068
76205,1990-05-09,Jours tranquilles à Clichy,Quiet Days in Clichy,33606614
54357,1983-07-08,सदमा,Sadma,10466979
69650,2002-07-19,யூத்,Youth,7832996
54658,1984-03-30,Misunderstood,Misunderstood,71415
80945,2006-11-16,భాగ్యలక్ష్మి బంపర్ డ్రా,Bhagyalakshmi Bumper Draw,5106141
143136,1999-07-17,용가리,Yonggary,14440848
40028,1988-05-20,Not of This Earth,Not of This Earth,14738168
43489,1945-04-07,Brewster's Millions,Brewster's Millions,21388424
43453,1948-12-22,The Dark Past,The Dark Past,2309020
402883,2000-06-20,How to Marry a Billionaire: A Christmas Tale,How to Marry a Billionaire: A Christmas Tale,54433872
4541,1935-02-05,Emil and the Detectives,Emil and the Detectives,48501880
77013,2004-04-16,பேரழகன்,Perazhagan,4853040
82011,2002-11-08,A cavallo della tigre,A cavallo della tigre,3175844
74837,1969-01-19,In the Year 2889,In the Year 2889,4034523
170499,1987-08-22,The Man Who Fell to Earth,The Man Who Fell to Earth,4298666
55627,1991-05-31,100 Days,100 Days,8422241
74484,1932-01-09,The Woman from Monte Carlo,The Woman from Monte Carlo,76399
4544,1954-10-14,Emil und die Detektive,Emil and the Detectives,54683918
465506,1951-05-31,Muchachas de uniforme,Girls in Uniform,57638274
162957,1930-07-22,Manslaughter,Manslaughter,10394661
87983,1953-01-16,The Clown,The Clown,36353695
207901,1988-10-19,Dayavan,Dayavan,9067968
84505,1932-10-01,Kongo,Kongo,31171169
190716,1904-05-24,Maniac Chase,Maniac Chase,76335557
210808,1961-04-18,Sanctuary,Sanctuary,26180482
69625,2006-02-01,சரவணா,Saravana,3956399
10444,1962-09-06,Das Testament des Dr. Mabuse,The Terror of Doctor Mabuse,64457085
295749,1931-07-15,Ex-Bad Boy,Ex-Bad Boy,48937792
472418,2004-01-17,The Call,The Call,294634
353594,2008-09-20,次郎長三国志,Samurai Gangsters,234656
78952,2004-01-15,எங்கள் அண்ணா,Engal Anna,16168084
291539,1998-01-04,Outrage,Outrage,37420727
171136,2008-02-18,Fleisch,Deadly Harvest,16230319
223271,1997-01-01,Star Portal,Star Portal,545187
799282,1982-01-01,Little Darlings,Little Darlings,77011319
92261,1959-02-17,The Cosmic Man,The Cosmic Man,7660385
304088,1991-04-05,बेनाम बादशाह,Benaam Badsha,34527984
43794,1941-07-04,Moon Over Miami,Moon Over Miami,2748481
139132,1969-05-01,The Mad Room,The Mad Room,56120071
111622,2009-09-04,நினைத்தாலே இனிக்கும்,Ninaithale Inikkum,19620290
358621,1948-12-26,Frontier Revenge,Frontier Revenge,3466113
4387,1996-10-25,Das Mädchen Rosemarie,A Girl Called Rosemarie,49131220
59918,2007-10-24,Le Deuxième Souffle,The Second Wind,52808323
257925,1958-04-01,忠臣蔵,The Loyal 47 Ronin,20936978
281871,2008-01-15,వాన,Vaana,14914342
203058,1973-12-19,Schloß Hubertus,Schloß Hubertus,28888981
130624,1935-10-30,Das Mädchen vom Moorhof,The Girl from the Marsh Croft,34791880
146296,1960-12-22,El fantasma de la opereta,The Phantom of the Operetta,47165775
131758,1955-07-22,"How To Be Very, Very Popular","How To Be Very, Very Popular",26212916
443624,2007-06-06,बॉम्बे टू गोआ,Journey Bombay to Goa,12835282
123075,1985-02-07,The Bad Seed,The Bad Seed,34152774
337803,1981-04-09,Dial M for Murder,Dial M for Murder,77223
327760,1939-11-26,Geronimo,Geronimo,51254036
66586,2008-10-13,Der Besuch der alten Dame,The Visit,15122117
291950,1939-03-10,The Spirit of Culver,The Spirit of Culver,19612707
165766,1969-09-17,Color Me Dead,Color Me Dead,171684
149955,1936-03-06,Three Godfathers,Three Godfathers,16307595
50184,1997-09-01,Ha-Dybbuk B'sde Hatapuchim Hakdoshim,The Dybbuk of the Holy Apple Field,714044
231681,1897-12-15,The Haunted Castle,The Haunted Castle,18129983
98113,1974-11-24,Reflections of Murder,Reflections of Murder,40319453
41302,1967-12-01,Zontar: The Thing from Venus,Zontar: The Thing from Venus,11706092
69670,2005-11-02,மஜா,Majaa,12874379
69628,2004-04-14,குத்து,Kuthu,16168190
84834,1973-10-13,Double Indemnity,Double Indemnity,60290570
315838,1980-10-31,Witches' Brew,Witches' Brew,21753206
43366,1952-02-22,The Belle of New York,The Belle of New York,2814516
116091,1945-08-30,If a Body Meets a Body,If a Body Meets a Body,8854150
193411,1900-03-09,The Kiss,The Kiss,172522
92352,1937-08-19,Confession,Confession,14414565
473047,1987-06-18,सत्यमेव जयते,Satyamev Jayate,28221890
607305,1998-01-01,天城越え,Amagi Pass,1416210
561632,1983-05-09,I Want to Live,I Want to Live,6872356
490491,1936-04-10,Gentle Julia,Gentle Julia,47535027
1337745,2009-10-16,Gilli,Gilli,23691822
787326,1955-05-30,The Petrified Forest,The Petrified Forest,1975939
260159,1974-07-07,Un capitán de quince años,Fifteen Year Old Captain,1646113
155949,2006-08-25,Aap Ki Khatir,Aap Ki Khatir,6214495
280988,2002-09-06,சுந்தரா டிராவல்ஸ்,Sundhara Travels,16167585
162066,1992-10-30,Muskurahat,Muskurahat,33624349
233394,1992-12-12,Six Characters in Search of An Author,Six Characters in Search of An Author,1009503
104302,1986-08-29,अनोखा रिश्ता,Anokha Rishta,29528534
3346,1962-02-08,Frankestein el vampiro y compañía,"Frankenstein, the Vampire and Company",2091700
686847,1984-03-17,Sentimental Journey,Sentimental Journey,2223151
171908,1967-08-02,The Perils of Pauline,The Perils of Pauline,15672922
96951,1922-12-31,Salomé,Salomé,76320
359198,1927-09-03,The Loves of Carmen,The Loves of Carmen,37991115
281851,2009-02-13,సత్యమెవ జయతె,Satyameva Jeyate,20137927
476925,2009-04-10,పున్నమి నాగు,Punnami Nagu,63122682
243812,1936-04-18,The Harvester,The Harvester,48388226
658600,1948-02-13,Haaviston Leeni,Haaviston Leeni,38272532
1087622,1981-01-02,Ceremonia secreta,Ceremonia secreta,35337345
101320,2000-04-02,The Spiral Staircase,The Spiral Staircase,13621726
270442,2007-10-30,Kingdom of the Vampire,Kingdom of the Vampire,26334330
117837,1942-10-02,Phantom Killer,Phantom Killer,41809066
461500,1978-01-01,Sammy Stops the World,Sammy Stops the World,2655658
209055,1955-10-14,Der letzte Mann,Der letzte Mann,43317652
160610,1970-05-26,La tonta del bote,La tonta del bote,50677188
142631,2001-06-21,लव के लिये कुछ भी करेगा,Love Ke Liye Kuch Bhi Karega,14302250
266257,1930-05-21,Bride of the Regiment,Bride of the Regiment,172460
93528,1957-12-11,Wild Is the Wind,Wild Is the Wind,161500
404235,1936-08-22,Love Begins at Twenty,Love Begins at Twenty,2711674
39009,1961-12-01,Kuu on vaarallinen,Preludes to Ecstasy,43583
437936,1982-11-23,Country Gold,Country Gold,171649
177415,1934-09-28,Outcast Lady,Outcast Lady,42788047
490166,1962-01-01,Prem Patra,Prem Patra,36157487
98119,2008-07-07,Attack of the Giant Leeches,Attack of the Giant Leeches,1678722
203066,1994-08-08,Motorcycle Gang,Motorcycle Gang,38126282
61569,1990-05-18,The Children,The Children,29113481
