Unnamed: 0.2,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
443,125149,1998-01-01,Hell Mountain,Hell Mountain,Chained Heat Collection,643572,1361107
444,201178,1998-10-07,Dark Confessions,Dark Confessions,Chained Heat Collection,643572,1044981
445,11872,1962-10-19,Er kanns nicht lassen,Er kanns nicht lassen,Pater Brown Collection,221691,28856059
446,67354,1960-12-19,Das schwarze Schaf,The Black Sheep,Pater Brown Collection,221691,28856007
447,90644,1967-12-29,Operazione San Pietro,Operation San Pietro,Pater Brown Collection,221691,34307129
448,96581,1992-05-08,"Makinavaja, el último choriso","Makinavaja, el último choriso",Makinavaja - Colección,135680,73504916
449,134629,1993-05-14,¡Semos peligrosos! (Uséase Makinavaja 2),¡Semos peligrosos! (Uséase Makinavaja 2),Makinavaja - Colección,135680,1199559
450,19307,1969-05-29,Carry On Camping,Carry On Camping,Carry On Collection,918027,1790524
451,19252,1972-12-01,Carry On Abroad,Carry On Abroad,Carry On Collection,918027,6555711
452,5060,1966-05-20,Carry On Screaming!,Carry On Screaming!,Carry On Collection,918027,3737258
453,26327,1974-02-01,Carry On Dick,Carry On Dick,Carry On Collection,918027,6536909
454,5066,1964-11-08,Carry On Cleo,Carry On Cleo,Carry On Collection,918027,3736986
455,5065,1965-11-26,Carry On Cowboy,Carry On Cowboy,Carry On Collection,918027,3737168
456,32113,1959-08-20,Carry On Teacher,Carry On Teacher,Carry On Collection,918027,2467280
457,19254,1963-06-01,Carry On Cabby,Carry On Cabby,Carry On Collection,918027,171695
458,32110,1958-08-31,Carry On Sergeant,Carry On Sergeant,Carry On Collection,918027,2384316
459,32109,1964-06-01,Carry On Spying,Carry On Spying,Carry On Collection,918027,3736782
460,26329,1973-11-09,Carry On Girls,Carry On Girls,Carry On Collection,918027,3078987
461,24570,1970-09-20,Carry On Loving,Carry On Loving,Carry On Collection,918027,4514440
462,24571,1972-05-05,Carry On Matron,Carry On Matron,Carry On Collection,918027,2077098
463,32107,1959-01-30,Carry On Nurse,Carry On Nurse,Carry On Collection,918027,3694061
464,21251,1976-10-01,Carry On England,Carry On England,Carry On Collection,918027,584256
465,5064,1967-12-02,Carry On Doctor,Carry On Doctor,Carry On Collection,918027,4747767
466,21240,1960-02-22,Carry On Constable,Carry On Constable,Carry On Collection,918027,3694303
467,34743,1978-10-12,Carry On Emmannuelle,Carry On Emmannuelle,Carry On Collection,918027,6555693
468,22937,1968-02-12,Carry On Up the Khyber,Carry On Up the Khyber,Carry On Collection,918027,1430128
469,36481,1977-01-01,That's Carry On!,That's Carry On!,Carry On Collection,918027,8068230
470,19725,1992-10-02,Carry On Columbus,Carry On Columbus,Carry On Collection,918027,4840033
471,32115,1961-04-04,Carry On Regardless,Carry On Regardless,Carry On Collection,918027,3694594
472,26190,1962-03-12,Carry On Cruising,Carry On Cruising,Carry On Collection,918027,3694699
473,32105,1964-02-23,Carry On Jack,Carry On Jack,Carry On Collection,918027,3736782
474,5061,1966-12-10,Carry On Don't Lose Your Head,Carry On Don't Lose Your Head,Carry On Collection,918027,3737258
475,24568,1967-08-10,Carry on Follow That Camel,Carry on Follow That Camel,Carry On Collection,918027,3737477
476,19293,1969-12-05,Carry On Again Doctor,Carry On Again Doctor,Carry On Collection,918027,1790524
477,17276,1970-03-20,Carry On Up the Jungle,Carry On Up the Jungle,Carry On Collection,918027,4514440
478,24569,1971-06-03,Carry On Henry,Carry On Henry,Carry On Collection,918027,5590439
479,19297,1971-12-10,Carry On at Your Convenience,Carry On at Your Convenience,Carry On Collection,918027,5590439
480,19300,1975-06-10,Carry On Behind,Carry On Behind,Carry On Collection,918027,584255
481,47631,1987-04-12,Bride of Boogedy,Bride of Boogedy,Mr. Boogedy Collection,47629,7042051
482,365351,1986-04-20,Mr. Boogedy,Mr. Boogedy,Mr. Boogedy Collection,47629,6060093
483,938504,1976-09-19,วัยอลวน,Wai Onlawon,Wai Onlawon,938511,2640496
484,360158,2005-07-28,วัยอลวน 4: ตั้ม-โอ๋ รีเทิร์น,Oops! There's Dad,Wai Onlawon,938511,12243724
485,894091,2021-04-12,วัยอลวน 5 ตั้ม-โอ๋ ตัวตึง,Couples in Trouble,Wai Onlawon,938511,61444296
486,10065,2005-04-14,The Amityville Horror,The Amityville Horror,The Amityville Collection,397842,1789996
487,11449,1979-07-27,The Amityville Horror,The Amityville Horror,The Amityville Collection,397842,3954917
488,55377,1989-05-12,Amityville: The Evil Escapes,Amityville: The Evil Escapes,The Amityville Collection,397842,6562692
489,27214,1983-11-18,Amityville 3-D,Amityville 3-D,The Amityville Collection,397842,6562375
490,16235,1982-09-24,Amityville II: The Possession,Amityville II: The Possession,The Amityville Collection,397842,2140002
491,41848,1990-05-07,The Amityville Curse,The Amityville Curse,The Amityville Collection,397842,6562947
492,41671,1992-07-16,Amityville 1992: It's About Time,Amityville 1992: It's About Time,The Amityville Collection,397842,6563151
493,33519,1993-09-29,Amityville: A New Generation,Amityville: A New Generation,The Amityville Collection,397842,6563355
494,52263,1996-10-02,Amityville: Dollhouse,Amityville: Dollhouse,The Amityville Collection,397842,6563473
495,203835,2017-06-30,Amityville: The Awakening,Amityville: The Awakening,The Amityville Collection,397842,39562016
496,215405,1993-10-27,Magic Kid,Magic Kid,Magic Kid Collection,397848,748895
497,150154,1994-12-07,Magic Kid II,Magic Kid II,Magic Kid Collection,397848,745252
498,229594,1994-11-14,A Dangerous Place,A Dangerous Place,Magic Kid Collection,397848,70795618
499,10823,1984-03-09,Children of the Corn,Children of the Corn,Children of the Corn Collection,115225,26946311
500,70575,2011-08-30,Children of the Corn: Genesis,Children of the Corn: Genesis,Children of the Corn Collection,115225,35618599
501,25752,1999-10-19,Children of the Corn 666: Isaac's Return,Children of the Corn 666: Isaac's Return,Children of the Corn Collection,115225,6073447
502,25748,1992-01-29,Children of the Corn II: The Final Sacrifice,Children of the Corn II: The Final Sacrifice,Children of the Corn Collection,115225,2821897
503,25749,1995-09-12,Children of the Corn III: Urban Harvest,Children of the Corn III: Urban Harvest,Children of the Corn Collection,115225,169220
504,25750,1996-10-08,Children of the Corn IV: The Gathering,Children of the Corn IV: The Gathering,Children of the Corn Collection,115225,3051597
505,25751,1998-06-21,Children of the Corn V: Fields of Terror,Children of the Corn V: Fields of Terror,Children of the Corn Collection,115225,6044779
506,25753,2001-10-09,Children of the Corn: Revelation,Children of the Corn: Revelation,Children of the Corn Collection,115225,6073527
507,21786,2006-10-13,Fritt vilt,Cold Prey,Cold Prey Collection,86553,6343334
508,15440,2008-10-09,Fritt vilt ll,Cold Prey II,Cold Prey Collection,86553,9776644
509,56937,2010-10-15,Fritt vilt III,Cold Prey III,Cold Prey Collection,86553,25310492
510,66661,1997-01-01,Operation Delta Force,Operation Delta Force,Operation Delta Force Collections,954909,29630881
511,63264,1998-04-10,Operation Delta Force 2: Mayday,Operation Delta Force 2: Mayday,Operation Delta Force Collections,954909,29630881
512,101180,1998-11-23,Operation Delta Force 3: Clear Target,Operation Delta Force 3: Clear Target,Operation Delta Force Collections,954909,29630881
513,116213,1999-12-09,Operation Delta Force 4: Deep Fault,Operation Delta Force 4: Deep Fault,Operation Delta Force Collections,954909,29630881
514,95251,2000-01-19,Operation Delta Force 5: Random Fire,Operation Delta Force V: Random Fire,Operation Delta Force Collections,954909,47271275
515,10134,1989-04-07,Cyborg,Cyborg,Cyborg Collection,98853,2513630
516,16437,1995-03-24,Cyborg 2,Cyborg 2,Cyborg Collection,98853,1011439
517,25391,1995-12-19,Cyborg 3: The Recycler,Cyborg 3: The Recycler,Cyborg Collection,98853,1011439
518,38700,2020-01-15,Bad Boys for Life,Bad Boys for Life,Bad Boys Collection,14890,58635027
519,9737,1995-04-07,Bad Boys,Bad Boys,Bad Boys Collection,14890,673613
520,8961,2003-07-18,Bad Boys II,Bad Boys II,Bad Boys Collection,14890,1037237
521,573435,2024-06-05,Bad Boys: Ride or Die,Bad Boys: Ride or Die,Bad Boys Collection,14890,72913635
522,4232,1996-12-20,Scream,Scream,Scream Collection,2602,113549
523,4233,1997-12-12,Scream 2,Scream 2,Scream Collection,2602,600320
524,4234,2000-02-04,Scream 3,Scream 3,Scream Collection,2602,73868769
525,41446,2011-04-13,Scream 4,Scream 4,Scream Collection,2602,19787914
526,646385,2022-01-12,Scream,Scream,Scream Collection,2602,31716869
527,934433,2023-03-08,Scream VI,Scream VI,Scream Collection,2602,69998370
528,1159559,2026-02-25,Scream 7,Scream 7,Scream Collection,2602,69998370
529,557,2002-05-01,Spider-Man,Spider-Man,Spider-Man Collection,556,146947
530,558,2004-06-25,Spider-Man 2,Spider-Man 2,Spider-Man Collection,556,612052
531,559,2007-05-01,Spider-Man 3,Spider-Man 3,Spider-Man Collection,556,702117
532,23535,1990-04-01,Class of 1999,Class of 1999,Class of 1999 Collection,164397,491329
533,61954,1994-03-29,Class of 1999 II: The Substitute,Class of 1999 II: The Substitute,Class of 1999 Collection,164397,19672025
534,11564,1982-08-20,Class of 1984,Class of 1984,Class of 1999 Collection,164397,369508
535,41628,2004-11-10,Max Havoc: Curse Of The Dragon,Max Havoc: Curse Of The Dragon,Max Havoc Collection,870961,5042018
536,60368,2006-07-28,Max Havoc - Ring of Fire,Max Havoc - Ring of Fire,Max Havoc Collection,870961,36182533
537,115693,1987-09-19,El Lute: camina o revienta,Lute: Forge On or Die,El Lute Collection,320059,7532188
538,115695,1988-04-20,El Lute II: mañana seré libre,El Lute II: Tomorrow I'll Be Free,El Lute Collection,320059,16056205
539,98596,1983-09-04,El pico,Overdose,El pico - Colección,320064,1941591
540,99760,1984-11-09,El pico 2,El Pico 2,El pico - Colección,320064,47733200
541,65497,1990-10-01,Martial Law,Martial Law,Martial Law Collection,318037,18791040
542,61802,1991-10-01,Martial Law II: Undercover,Martial Law II: Undercover,Martial Law Collection,318037,18791040
543,89340,1992-12-02,Mission of Justice,Mission of Justice,Martial Law Collection,318037,78289908
544,175682,1993-11-16,Martial Outlaw,Martial Outlaw,Martial Law Collection,318037,18792012
545,1871,1964-11-04,Fantômas,Fantomas,Fantomas Collection,103001,171694
546,1870,1965-12-08,Fantômas se déchaîne,Fantomas Unleashed,Fantomas Collection,103001,171692
547,1875,1967-03-16,Fantômas contre Scotland Yard,Fantomas vs. Scotland Yard,Fantomas Collection,103001,9765304
548,27769,1991-05-07,Sometimes They Come Back,Sometimes They Come Back,Sometimes They Come Back Collection,168545,8809291
549,27770,1996-09-03,Sometimes They Come Back... Again,Sometimes They Come Back... Again,Sometimes They Come Back Collection,168545,142430
550,27771,1998-11-01,Sometimes They Come Back... for More,Sometimes They Come Back... for More,Sometimes They Come Back Collection,168545,6947418
551,73604,1968-12-15,Greetings,Greetings,Greetings Collection,838244,1855432
552,42589,1970-04-27,"Hi, Mom!","Hi, Mom!",Greetings Collection,838244,1822077
553,10865,2001-06-02,Atlantis: The Lost Empire,Atlantis: The Lost Empire,Atlantis Collection,100965,10770227
554,8965,2003-02-25,Atlantis: Milo's Return,Atlantis: Milo's Return,Atlantis Collection,100965,1090927
555,11846,1991-12-20,Father of the Bride,Father of the Bride,Father of the Bride (Steve Martin) Collection,96871,773089
556,11862,1995-12-08,Father of the Bride Part II,Father of the Bride Part II,Father of the Bride (Steve Martin) Collection,96871,3303622
557,179631,1981-01-31,魔劍俠情,Return of the Sentimental Swordsman,The Sentimental Swordsman Collection,385639,30330044
558,149961,1977-10-14,多情劍客無情劍,The Sentimental Swordsman,The Sentimental Swordsman Collection,385639,10988542
559,37749,1977-10-19,Looking for Mr. Goodbar,Looking for Mr. Goodbar,The Goodbar Collection,930413,16037718
560,486549,1983-10-15,Trackdown: Finding the Goodbar Killer,Trackdown: Finding the Goodbar Killer,The Goodbar Collection,930413,48692021
561,118255,1965-12-14,Life at the Top,Life at the Top,At The Top Collection,633455,7813879
562,43103,1958-12-29,Room at the Top,Room at the Top,At The Top Collection,633455,3511234
563,339430,1996-12-27,Tresko - Der Maulwurf,Tresko - Der Maulwurf,Tresko Filmreihe,991856,47544926
564,295608,1996-12-30,Tresko – Amigo Affäre,Tresko – Amigo Affäre,Tresko Filmreihe,991856,65228905
565,161017,1979-02-15,茅山殭屍拳,The Shadow Boxing,The Spiritual Boxer Collection,385650,78260570
566,104606,1975-11-28,神打,The Spiritual Boxer,The Spiritual Boxer Collection,385650,78260518
567,11319,1977-06-22,The Rescuers,The Rescuers,The Rescuers Collection,57971,516474
568,11135,1990-11-16,The Rescuers Down Under,The Rescuers Down Under,The Rescuers Collection,57971,2688769
569,11077,1990-07-27,Problem Child,Problem Child,Problem Child Collection,180854,304725
570,28601,1995-05-13,Problem Child 3,Problem Child 3,Problem Child Collection,180854,1741327
571,28597,1991-07-03,Problem Child 2,Problem Child 2,Problem Child Collection,180854,685931
572,21410,1966-05-03,座頭市の歌が聞える,Zatoichi's Vengeance,Zatoichi: The Blind Swordsman Collection,96887,171690
573,16692,1962-04-18,座頭市物語,The Tale of Zatoichi,Zatoichi: The Blind Swordsman Collection,96887,171697
574,18511,1963-08-09,座頭市兇状旅,Zatoichi the Fugitive,Zatoichi: The Blind Swordsman Collection,96887,171695
575,16693,1962-10-12,続・座頭市物語,The Tale of Zatoichi Continues,Zatoichi: The Blind Swordsman Collection,96887,171697
576,18624,1963-11-30,座頭市喧嘩旅,Zatoichi on the Road,Zatoichi: The Blind Swordsman Collection,96887,171695
577,40897,1964-03-14,座頭市千両首,Zatoichi and the Chest of Gold,Zatoichi: The Blind Swordsman Collection,96887,171694
578,54265,1964-07-11,座頭市あばれ凧,Zatoichi's Flashing Sword,Zatoichi: The Blind Swordsman Collection,96887,171694
579,54266,1964-11-17,座頭市血笑旅,"Fight, Zatoichi, Fight",Zatoichi: The Blind Swordsman Collection,96887,41872689
580,54275,1965-12-24,座頭市地獄旅,Zatoichi and the Chess Expert,Zatoichi: The Blind Swordsman Collection,96887,171692
581,54276,1966-08-12,座頭市海を渡る,Zatoichi's Pilgrimage,Zatoichi: The Blind Swordsman Collection,96887,171690
582,54279,1967-12-30,座頭市血煙り街道,Zatoichi Challenged,Zatoichi: The Blind Swordsman Collection,96887,42673827
583,18510,1963-03-15,新・座頭市物語,New Tale of Zatoichi,Zatoichi: The Blind Swordsman Collection,96887,25061132
584,54272,1964-12-30,座頭市関所破り,Adventures of Zatoichi,Zatoichi: The Blind Swordsman Collection,96887,171694
585,54274,1965-09-18,座頭市逆手斬り,Zatoichi and the Doomed Man,Zatoichi: The Blind Swordsman Collection,96887,171692
586,54278,1967-08-12,座頭市牢破り,Zatoichi the Outlaw,Zatoichi: The Blind Swordsman Collection,96887,42658047
587,54277,1967-01-03,座頭市鉄火旅,Zatoichi's Cane Sword,Zatoichi: The Blind Swordsman Collection,96887,42638034
588,42601,1970-01-15,座頭市と用心棒,Zatoichi Meets Yojimbo,Zatoichi: The Blind Swordsman Collection,96887,7399130
589,54283,1970-08-12,座頭市あばれ火祭り,Zatoichi Goes to the Fire Festival,Zatoichi: The Blind Swordsman Collection,96887,48516564
590,24444,1971-01-13,新座頭市　破れ！唐人剣,Zatoichi Meets the One-Armed Swordsman,Zatoichi: The Blind Swordsman Collection,96887,33849474
591,54284,1972-01-15,座頭市御用旅,Zatoichi at Large,Zatoichi: The Blind Swordsman Collection,96887,55424482
592,54306,1972-09-02,新座頭市物語・折れた杖,Zatoichi in Desperation,Zatoichi: The Blind Swordsman Collection,96887,55424482
593,54307,1973-04-21,新座頭市物語・笠間の血祭り,Zatoichi's Conspiracy,Zatoichi: The Blind Swordsman Collection,96887,635382
594,54280,1968-08-10,座頭市果し状,Zatoichi and the Fugitives,Zatoichi: The Blind Swordsman Collection,96887,42790230
595,54273,1965-04-03,座頭市二段斬り,Zatoichi's Revenge,Zatoichi: The Blind Swordsman Collection,96887,42610315
596,54281,1968-12-28,座頭市喧嘩太鼓,Samaritan Zatoichi,Zatoichi: The Blind Swordsman Collection,96887,635382
597,40644,1989-02-04,座頭市,Zatoichi: Darkness Is His Ally,Zatoichi: The Blind Swordsman Collection,96887,59942086
598,58188,1968-10-24,Il medico della mutua,Be Sick… It's Free,Il medico della mutua Collection,445049,21894696
599,82372,1969-12-19,Il Prof. Dott. Guido Tersilli primario della Clinica Villa Celeste convenzionata con la Mutua,Medicine Italian Style,Il medico della mutua Collection,445049,1788511
600,17529,1969-06-11,True Grit,True Grit,Rooster Cogburn Collection,584320,161912
601,17538,1975-11-01,Rooster Cogburn,Rooster Cogburn,Rooster Cogburn Collection,584320,1598127
602,108807,1978-05-19,True Grit: A Further Adventure,True Grit: A Further Adventure,Rooster Cogburn Collection,584320,11540062
603,90342,1968-09-21,Joe... cercati un posto per morire!,Find a Place to Die,Ringo Collection,473730,274097
604,56431,1965-05-12,Una pistola per Ringo,A Pistol for Ringo,Ringo Collection,473730,18361148
605,63260,1965-12-08,Il ritorno di Ringo,The Return of Ringo,Ringo Collection,473730,17249476
606,253,1973-06-27,Live and Let Die,Live and Let Die,James Bond Collection,645,6446061
607,646,1962-10-07,Dr. No,Dr. No,James Bond Collection,645,6446053
608,657,1963-10-10,From Russia with Love,From Russia with Love,James Bond Collection,645,6446071
609,658,1964-09-20,Goldfinger,Goldfinger,James Bond Collection,645,6322029
610,660,1965-12-11,Thunderball,Thunderball,James Bond Collection,645,6152265
611,667,1967-06-13,You Only Live Twice,You Only Live Twice,James Bond Collection,645,5078515
612,668,1969-12-18,On Her Majesty's Secret Service,On Her Majesty's Secret Service,James Bond Collection,645,6268880
613,681,1971-12-14,Diamonds Are Forever,Diamonds Are Forever,James Bond Collection,645,157481
614,682,1974-12-04,The Man with the Golden Gun,The Man with the Golden Gun,James Bond Collection,645,6223567
615,691,1977-07-07,The Spy Who Loved Me,The Spy Who Loved Me,James Bond Collection,645,6446036
616,698,1979-06-26,Moonraker,Moonraker,James Bond Collection,645,6446062
617,699,1981-06-24,For Your Eyes Only,For Your Eyes Only,James Bond Collection,645,6446044
618,700,1983-06-05,Octopussy,Octopussy,James Bond Collection,645,541642
619,707,1985-05-24,A View to a Kill,A View to a Kill,James Bond Collection,645,3671146
620,709,1989-06-13,Licence to Kill,Licence to Kill,James Bond Collection,645,52075363
621,710,1995-11-16,GoldenEye,GoldenEye,James Bond Collection,645,3256715
622,714,1997-12-11,Tomorrow Never Dies,Tomorrow Never Dies,James Bond Collection,645,317647
623,10764,2008-10-29,Quantum of Solace,Quantum of Solace,James Bond Collection,645,2969247
624,36557,2006-11-14,Casino Royale,Casino Royale,James Bond Collection,645,930379
625,36643,1999-11-17,The World Is Not Enough,The World Is Not Enough,James Bond Collection,645,166121
626,36669,2002-11-17,Die Another Day,Die Another Day,James Bond Collection,645,2235752
627,37724,2012-10-24,Skyfall,Skyfall,James Bond Collection,645,33335392
628,206647,2015-10-26,Spectre,Spectre,James Bond Collection,645,44853982
629,708,1987-06-29,The Living Daylights,The Living Daylights,James Bond Collection,645,566713
630,370172,2021-09-29,No Time to Die,No Time to Die,James Bond Collection,645,66570188
631,36670,1983-10-07,Never Say Never Again,Never Say Never Again,James Bond Collection,645,490101
632,41428,1989-07-01,鉄男,Tetsuo: The Iron Man,Tetsuo Collection,182923,1668414
633,17991,1992-10-03,鉄男II BODY HAMMER,Tetsuo II: Body Hammer,Tetsuo Collection,182923,4241206
634,52034,2009-09-05,鉄男 THE BULLET MAN,Tetsuo: The Bullet Man,Tetsuo Collection,182923,23749531
635,120386,1978-08-17,The Stud,The Stud,Fontaine Khaled Collection,412300,4073679
636,50672,1979-09-19,The Bitch,The Bitch,Fontaine Khaled Collection,412300,4073694
637,3980,1986-04-11,Critters,Critters,Critters Collection,10893,6049256
638,10127,1988-04-29,Critters 2,Critters 2,Critters Collection,10893,2509859
639,12702,1991-12-11,Critters 3,Critters 3,Critters Collection,10893,171587
640,12525,1992-08-20,Critters 4,Critters 4,Critters Collection,10893,1140773
641,597856,2019-07-13,Critters Attack!,Critters Attack!,Critters Collection,10893,61236475
642,6917,1987-04-21,The Gate,The Gate,The Gate Collection,340623,1010796
643,40729,1990-05-24,Gate II,Gate II,The Gate Collection,340623,14696485
644,145326,1982-04-14,Las locuras de Parchís,Las locuras de Parchís,Parchís - Colección,146070,7699200
645,146060,1981-02-17,La segunda guerra de los niños,La segunda guerra de los niños,Parchís - Colección,146070,3187033
646,146054,1980-02-04,La guerra de los niños,La guerra de los niños,Parchís - Colección,146070,2339510
647,189305,1983-08-11,Parchís entra en acción,Parchís entra en acción,Parchís - Colección,146070,7699200
648,222711,1981-07-09,Los Parchís contra el inventor invisible,Parchis Against the Invisible Inventor,Parchís - Colección,146070,39315299
649,258743,1982-08-20,La magia de los Parchís,La magia de los Parchís,Parchís - Colección,146070,7699200
650,431452,1983-07-04,La gran aventura de los Parchís,La gran aventura de los Parchís,Parchís - Colección,146070,3187033
651,10345,1989-04-28,K-9,K-9,K-9 Collection,88735,1163257
652,47354,2002-07-30,K-9: P.I.,K-9: P.I.,K-9 Collection,88735,6146523
653,41586,1999-12-07,K-911,K-911,K-9 Collection,88735,2908457
654,10766,1978-06-09,Damien: Omen II,Damien: Omen II,The Omen Collection,10919,2251161
655,10768,1981-03-20,The Final Conflict,The Final Conflict,The Omen Collection,10919,2474297
656,794,1976-06-25,The Omen,The Omen,The Omen Collection,10919,186856
657,17792,1991-07-19,Omen IV: The Awakening,Omen IV: The Awakening,The Omen Collection,10919,2401502
658,437342,2024-04-03,The First Omen,The First Omen,The Omen Collection,10919,70759071
659,62328,1993-05-05,Shootfighter: Fight to the Death,Shootfighter: Fight to the Death,Shootfighter Collection,398000,2987692
660,62329,1996-08-27,Shootfighter II,Shootfighter II,Shootfighter Collection,398000,17747357
661,896,1959-05-01,অপুর সংসার,Apur Sansar,The Apu Trilogy,158391,172083
662,897,1956-10-11,অপরাজিত,Aparajito,The Apu Trilogy,158391,172089
663,5801,1955-08-26,পথের পাঁচালী,Pather Panchali,The Apu Trilogy,158391,453066
664,16043,2006-02-03,Tempelriddernes Skat,The Lost Treasure of the Knights Templar,Tempelriddernes skat Collection,205497,37773837
665,16045,2008-03-14,Tempelriddernes Skat III: Mysteriet om slangekronen,The Lost Treasure of the Knights Templar III: The Mystery of the Snake Crown,Tempelriddernes skat Collection,205497,474000
666,16044,2007-03-29,Tempelriddernes Skat II: Stormesterens hemmelighed,The Lost Treasure of the Knights Templar II,Tempelriddernes skat Collection,205497,71228298
667,10372,1985-11-24,Ewoks: The Battle for Endor,Ewoks: The Battle for Endor,Star Wars: The Ewok Adventures Collection,133830,805354
668,1884,1984-11-25,The Ewok Adventure,The Ewok Adventure,Star Wars: The Ewok Adventures Collection,133830,804933
669,43240,1957-06-14,Tammy and the Bachelor,Tammy and the Bachelor,Tammy Collection,664273,13503537
670,62392,1961-07-26,Tammy Tell Me True,Tammy Tell Me True,Tammy Collection,664273,36146699
671,68720,1963-05-29,Tammy and the Doctor,Tammy and the Doctor,Tammy Collection,664273,171695
672,351365,1967-05-01,Tammy and the Millionaire,Tammy and the Millionaire,Tammy Collection,664273,2814248
673,22572,1988-01-29,Hell Comes to Frogtown,Hell Comes to Frogtown,The Frogtown Collection,160468,2477211
674,96469,1992-11-03,Frogtown II,Frogtown II,The Frogtown Collection,160468,231537
675,146026,1996-03-19,Toad Warrior,Toad Warrior,The Frogtown Collection,160468,2939386
676,146037,2002-10-01,Max Hell Frog Warrior,Max Hell Frog Warrior,The Frogtown Collection,160468,2939386
677,8766,1996-03-08,Hellraiser: Bloodline,Hellraiser: Bloodline,Hellraiser Collection,8917,3745404
678,9003,1987-09-11,Hellraiser,Hellraiser,Hellraiser Collection,8917,71975
679,11246,2002-10-15,Hellraiser: Hellseeker,Hellraiser: Hellseeker,Hellraiser Collection,8917,3745465
680,11569,1992-09-11,Hellraiser III: Hell on Earth,Hellraiser III: Hell on Earth,Hellraiser Collection,8917,3745331
681,12597,2000-10-31,Hellraiser: Inferno,Hellraiser: Inferno,Hellraiser Collection,8917,3745444
682,12699,2005-09-06,Hellraiser: Hellworld,Hellraiser: Hellworld,Hellraiser Collection,8917,3745507
683,17455,2005-06-07,Hellraiser: Deader,Hellraiser: Deader,Hellraiser Collection,8917,3745527
684,9064,1988-12-23,Hellbound: Hellraiser II,Hellbound: Hellraiser II,Hellraiser Collection,8917,3745287
685,70584,2011-10-18,Hellraiser: Revelations,Hellraiser: Revelations,Hellraiser Collection,8917,29331558
686,444149,2018-02-13,Hellraiser: Judgment,Hellraiser: Judgment,Hellraiser Collection,8917,51542381
687,13225,1992-04-10,FernGully: The Last Rainforest,FernGully: The Last Rainforest,FernGully Collection,19160,2108776
688,18948,1998-03-17,FernGully 2: The Magical Rescue,FernGully 2: The Magical Rescue,FernGully Collection,19160,6439718
689,150807,1972-09-13,The Daughters of Joshua Cabe,The Daughters of Joshua Cabe,The Daughters of Joshua Cabe Collection,973547,57266995
690,252966,1975-01-28,The Daughters of Joshua Cabe Return,The Daughters of Joshua Cabe Return,The Daughters of Joshua Cabe Collection,973547,34849031
691,601540,1976-05-29,The New Daughters of Joshua Cabe,The New Daughters of Joshua Cabe,The Daughters of Joshua Cabe Collection,973547,6042452
692,176000,1992-03-01,A Woman Scorned: The Betty Broderick Story,A Woman Scorned: The Betty Broderick Story,Betty Broderick Collection,750317,58340460
693,345529,1994-10-14,"Her Final Fury: Betty Broderick, the Last Chapter","Her Final Fury: Betty Broderick, the Last Chapter",Betty Broderick Collection,750317,813240
694,252893,1969-11-11,The Spy Killer,The Spy Killer,The John Smith Collection,973550,171684
695,252709,1970-01-13,Foreign Exchange,Foreign Exchange,The John Smith Collection,973550,28936056
696,8810,1981-12-24,Mad Max 2,Mad Max 2,Mad Max Collection,8945,262465
697,9355,1985-06-29,Mad Max Beyond Thunderdome,Mad Max Beyond Thunderdome,Mad Max Collection,8945,598868
698,9659,1979-04-12,Mad Max,Mad Max,Mad Max Collection,8945,255898
699,76341,2015-05-13,Mad Max: Fury Road,Mad Max: Fury Road,Mad Max Collection,8945,36426373
700,340023,,Mad Max: The Wasteland,Mad Max: The Wasteland,Mad Max Collection,8945,65573514
701,786892,2024-05-22,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,Mad Max Collection,8945,77031508
702,609849,1916-10-02,Ultus and the Grey Lady,Ultus and the Grey Lady,Ultus Collection,723701,172502
703,603503,1916-10-01,Ultus and the Secret of the Night,Ultus and the Secret of the Night,Ultus Collection,723701,172502
704,723709,1915-12-01,Ultus - The Man from the Dead,Ultus - The Man from the Dead,Ultus Collection,723701,172502
705,21882,1976-08-25,Gator,Gator,Gator Collection,289531,5812847
706,4984,1973-08-06,White Lightning,White Lightning,Gator Collection,289531,5806110
707,13665,1981-07-17,Arthur,Arthur,Arthur Collection,170754,164401
708,26044,1988-07-08,Arthur 2: On the Rocks,Arthur 2: On the Rocks,Arthur Collection,170754,2069002
709,50076,1977-08-01,Confessions from a Holiday Camp,Confessions from a Holiday Camp,Confessions Collection,133891,2259783
710,33303,1974-08-16,Confessions of a Window Cleaner,Confessions of a Window Cleaner,Confessions Collection,133891,3807682
711,34905,1975-01-01,Confessions of a Pop Performer,Confessions of a Pop Performer,Confessions Collection,133891,14030712
712,33301,1976-09-01,Confessions of a Driving Instructor,Confessions of a Driving Instructor,Confessions Collection,133891,3807805
713,277392,1978-08-12,火の鳥,The Phoenix,Phoenix Collection,873220,62698267
714,57635,1980-03-15,火の鳥2772 愛のコスモゾーン,Phoenix 2772,Phoenix Collection,873220,2620960
715,316301,1986-12-20,火の鳥 鳳凰編,Phoenix: Karma Chapter,Phoenix Collection,873220,1074647
716,335068,1987-08-01,火の鳥 ヤマト編,Phoenix: Yamato Chapter,Phoenix Collection,873220,1074647
717,335073,1987-12-21,火の鳥 宇宙編,Phoenix: Space Chapter,Phoenix Collection,873220,1074647
