id,release_date,original_title,title,collection,collection_id
9710,1986-12-17,Allan Quatermain and the Lost City of Gold,Allan Quatermain and the Lost City of Gold,Allan Quatermain Collection,135502
61979,2010-12-03,Tres metros sobre el cielo,Three Steps Above Heaven,Three Steps Above Heaven Collection,141649
109689,2012-06-22,Tengo ganas de ti,I Want You,Three Steps Above Heaven Collection,141649
10665,2008-05-29,The Strangers,The Strangers,The Strangers Collection,487765
371608,2018-03-07,The Strangers: Prey at Night,The Strangers: Prey at Night,The Strangers Collection,487765
62,1968-04-02,2001: A Space Odyssey,2001: A Space Odyssey,The Space Odyssey Series,4438
4437,1984-12-06,2010,2010,The Space Odyssey Series,4438
12230,1961-01-25,One Hundred and One Dalmatians,One Hundred and One Dalmatians,101 Dalmatians (Animated) Collection,100693
13654,2003-03-02,101 Dalmatians II: Patch's London Adventure,101 Dalmatians II: Patch's London Adventure,101 Dalmatians (Animated) Collection,100693
1924,1978-12-14,Superman,Superman,Superman Collection,8537
9531,1983-06-17,Superman III,Superman III,Superman Collection,8537
8536,1980-12-12,Superman II,Superman II,Superman Collection,8537
1452,2006-06-28,Superman Returns,Superman Returns,Superman Collection,8537
11411,1987-07-24,Superman IV: The Quest for Peace,Superman IV: The Quest for Peace,Superman Collection,8537
138,1931-02-12,Dracula,Dracula,Dracula (Universal) Collection,221539
22440,1936-05-11,Dracula's Daughter,Dracula's Daughter,Dracula (Universal) Collection,221539
32023,1943-11-05,Son of Dracula,Son of Dracula,Dracula (Universal) Collection,221539
30793,1945-12-07,House of Dracula,House of Dracula,Dracula (Universal) Collection,221539
15849,1932-12-22,The Mummy,The Mummy,The Mummy (Universal) Collection,221544
31498,1940-09-20,The Mummy's Hand,The Mummy's Hand,The Mummy (Universal) Collection,221544
29239,1942-10-23,The Mummy's Tomb,The Mummy's Tomb,The Mummy (Universal) Collection,221544
29243,1944-07-07,The Mummy's Ghost,The Mummy's Ghost,The Mummy (Universal) Collection,221544
29242,1944-12-22,The Mummy's Curse,The Mummy's Curse,The Mummy (Universal) Collection,221544
26661,1955-06-23,Abbott and Costello Meet the Mummy,Abbott and Costello Meet the Mummy,The Mummy (Universal) Collection,221544
38273,1943-12-17,Calling Dr. Death,Calling Dr. Death,Inner Sanctum Mysteries Collection,1005941
64078,1945-06-01,The Frozen Ghost,The Frozen Ghost,Inner Sanctum Mysteries Collection,1005941
64075,1944-11-10,Dead Man's Eyes,Dead Man's Eyes,Inner Sanctum Mysteries Collection,1005941
64076,1944-03-01,Weird Woman,Weird Woman,Inner Sanctum Mysteries Collection,1005941
64077,1945-12-14,Pillow of Death,Pillow of Death,Inner Sanctum Mysteries Collection,1005941
29241,1945-10-05,Strange Confession,Strange Confession,Inner Sanctum Mysteries Collection,1005941
26515,1988-06-09,Pumpkinhead,Pumpkinhead,Pumpkinhead Collection,123256
35979,2007-02-05,Pumpkinhead: Blood Feud,Pumpkinhead: Blood Feud,Pumpkinhead Collection,123256
35977,1995-10-20,Pumpkinhead II: Blood Wings,Pumpkinhead II: Blood Wings,Pumpkinhead Collection,123256
35978,2006-10-28,Pumpkinhead: Ashes to Ashes,Pumpkinhead: Ashes to Ashes,Pumpkinhead Collection,123256
10606,1984-10-05,The Philadelphia Experiment,The Philadelphia Experiment,The Philadelphia Experiment Collection,145784
35610,1993-11-12,Philadelphia Experiment II,Philadelphia Experiment II,The Philadelphia Experiment Collection,145784
9316,2003-01-21,องค์บาก,Ong-Bak,Ong Bak Collection,94589
16353,2008-12-04,องค์บาก 2,Ong Bak 2,Ong Bak Collection,94589
43209,2010-05-05,องค์บาก 3,Ong Bak 3,Ong Bak Collection,94589
43593,2010-08-20,Piranha 3D,Piranha 3D,Piranha 3D Collection,104830
71668,2012-05-11,Piranha 3DD,Piranha 3DD,Piranha 3D Collection,104830
850871,2023-03-03,Sayen,Sayen,Sayen Collection,1104256
850880,2023-10-20,Sayen: La ruta seca,Sayen: Desert Road,Sayen Collection,1104256
850888,2024-04-26,Sayen: La cazadora,Sayen: The Huntress,Sayen Collection,1104256
1885,1984-06-22,The Karate Kid,The Karate Kid,The Karate Kid Collection,8580
8856,1986-06-18,The Karate Kid Part II,The Karate Kid Part II,The Karate Kid Collection,8580
10495,1989-06-16,The Karate Kid Part III,The Karate Kid Part III,The Karate Kid Collection,8580
11231,1994-07-18,The Next Karate Kid,The Next Karate Kid,The Karate Kid Collection,8580
1011477,2025-05-28,Karate Kid: Legends,Karate Kid: Legends,The Karate Kid Collection,8580
377,1984-10-31,A Nightmare on Elm Street,A Nightmare on Elm Street,A Nightmare on Elm Street Collection,8581
10014,1985-11-01,A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street Collection,8581
10072,1987-02-27,A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street Collection,8581
10131,1988-08-19,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street Collection,8581
10160,1989-08-11,A Nightmare on Elm Street: The Dream Child,A Nightmare on Elm Street: The Dream Child,A Nightmare on Elm Street Collection,8581
11284,1991-09-05,Freddy's Dead: The Final Nightmare,Freddy's Dead: The Final Nightmare,A Nightmare on Elm Street Collection,8581
11596,1994-10-13,New Nightmare,New Nightmare,A Nightmare on Elm Street Collection,8581
315162,2022-12-07,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,Puss in Boots Collection,94602
417859,2011-10-27,Puss in Boots,Puss in Boots,Puss in Boots Collection,94602
466282,2018-08-16,To All the Boys I've Loved Before,To All the Boys I've Loved Before,To All the Boys Collection,569738
565426,2020-02-03,To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,To All the Boys Collection,569738
614409,2021-02-12,To All the Boys: Always and Forever,To All the Boys: Always and Forever,To All the Boys Collection,569738
106,1987-06-12,Predator,Predator,Predator Collection,399
169,1990-11-21,Predator 2,Predator 2,Predator Collection,399
34851,2010-07-03,Predators,Predators,Predator Collection,399
346910,2018-09-05,The Predator,The Predator,Predator Collection,399
766507,2022-08-02,Prey,Prey,Predator Collection,399
1242898,2025-11-05,Predator: Badlands,Predator: Badlands,Predator Collection,399
1376434,,Untitled Predator Film,Untitled Predator Film,Predator Collection,399
654028,2020-11-18,The Christmas Chronicles: Part Two,The Christmas Chronicles: Part Two,The Christmas Chronicles Collection,743824
527435,2018-11-22,The Christmas Chronicles,The Christmas Chronicles,The Christmas Chronicles Collection,743824
953,2005-05-25,Madagascar,Madagascar,Madagascar Collection,14740
10527,2008-10-30,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,Madagascar Collection,14740
80321,2012-06-06,Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,Madagascar Collection,14740
8467,1994-12-16,Dumb and Dumber,Dumb and Dumber,Dumb and Dumber Collection,96665
10152,2003-04-14,Dumb and Dumberer: When Harry Met Lloyd,Dumb and Dumberer: When Harry Met Lloyd,Dumb and Dumber Collection,96665
100042,2014-11-12,Dumb and Dumber To,Dumb and Dumber To,Dumb and Dumber Collection,96665
25998,1988-12-01,黑太陽731,Men Behind the Sun,Unit 731,633245
36238,1992-07-10,黑太陽731續集之殺人工廠,Man Behind the Sun 2: Laboratory of the Devil,Unit 731,633245
51007,1995-07-07,黑太陽：南京大屠殺,Black Sun: The Nanking Massacre,Unit 731,633245
117498,1994-10-23,黑太陽731完結篇之死亡列車,Men Behind the Sun 3: A Narrow Escape,Unit 731,633245
37169,2009-10-31,The Human Centipede (First Sequence),The Human Centipede (First Sequence),The Human Centipede Collection,96671
74997,2011-10-06,The Human Centipede 2 (Full Sequence),The Human Centipede 2 (Full Sequence),The Human Centipede Collection,96671
94365,2015-05-22,The Human Centipede 3 (Final Sequence),The Human Centipede 3 (Final Sequence),The Human Centipede Collection,96671
66129,2011-06-30,Les Tuche,The Tuche Family,The Tuche Family Collection,389544
369776,2016-02-03,Les Tuche 2 : Le Rêve américain,The Tuche Family: The American Dream,The Tuche Family Collection,389544
424619,2018-01-31,Les Tuche 3,The Magic Tuche,The Tuche Family Collection,389544
613335,2021-12-08,Les Tuche 4,Christmas with the Tuches,The Tuche Family Collection,389544
1137759,2025-02-05,God Save the Tuche,God Save the Tuche,The Tuche Family Collection,389544
72105,2012-06-29,Ted,Ted,Ted Collection,266672
214756,2015-06-25,Ted 2,Ted 2,Ted Collection,266672
14756,2008-12-12,葉問,Ip Man,Ip Man Collection,70068
37472,2010-04-29,葉問2,Ip Man 2,Ip Man Collection,70068
365222,2015-12-24,葉問3,Ip Man 3,Ip Man Collection,70068
449924,2019-12-19,葉問4,Ip Man 4: The Finale,Ip Man Collection,70068
17134,2009-03-19,12 Rounds,12 Rounds,12 Rounds Collection,221622
195269,2013-06-01,12 Rounds 2: Reloaded,12 Rounds 2: Reloaded,12 Rounds Collection,221622
351901,2015-09-11,12 Rounds 3: Lockdown,12 Rounds 3: Lockdown,12 Rounds Collection,221622
441957,2017-04-20,Урфин Джюс и его деревянные солдаты,Fantastic Journey to Oz,Fantastic Journey To Oz,518594
518596,2019-10-24,Урфин Джюс возвращается,Fantastic Return to Oz,Fantastic Journey To Oz,518594
1858,2007-06-27,Transformers,Transformers,Transformers Collection,8650
8373,2009-06-19,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,Transformers Collection,8650
38356,2011-06-28,Transformers: Dark of the Moon,Transformers: Dark of the Moon,Transformers Collection,8650
91314,2014-06-25,Transformers: Age of Extinction,Transformers: Age of Extinction,Transformers Collection,8650
335988,2017-06-16,Transformers: The Last Knight,Transformers: The Last Knight,Transformers Collection,8650
23827,2007-09-14,Paranormal Activity,Paranormal Activity,Paranormal Activity Collection,41437
41436,2010-10-20,Paranormal Activity 2,Paranormal Activity 2,Paranormal Activity Collection,41437
72571,2011-10-19,Paranormal Activity 3,Paranormal Activity 3,Paranormal Activity Collection,41437
82990,2012-10-17,Paranormal Activity 4,Paranormal Activity 4,Paranormal Activity Collection,41437
146301,2015-10-21,Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension,Paranormal Activity Collection,41437
227348,2014-01-01,Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones,Paranormal Activity Collection,41437
609972,2021-10-29,Paranormal Activity: Next of Kin,Paranormal Activity: Next of Kin,Paranormal Activity Collection,41437
12,2003-05-30,Finding Nemo,Finding Nemo,Finding Nemo Collection,137697
127380,2016-06-16,Finding Dory,Finding Dory,Finding Nemo Collection,137697
27310,2009-12-29,The Marine 2,The Marine 2,The Marine Collection,166373
171581,2013-03-05,The Marine 3: Homefront,The Marine 3: Homefront,The Marine Collection,166373
329540,2015-04-10,The Marine 4: Moving Target,The Marine 4: Moving Target,The Marine Collection,166373
445993,2017-03-16,The Marine 5: Battleground,The Marine 5: Battleground,The Marine Collection,166373
8975,2006-10-13,The Marine,The Marine,The Marine Collection,166373
548928,2018-11-02,The Marine 6: Close Quarters,The Marine 6: Close Quarters,The Marine Collection,166373
10866,2001-10-05,Joy Ride,Joy Ride,Joy Ride Collection,166378
16763,2009-01-23,Joy Ride 2: Dead Ahead,Joy Ride 2: Dead Ahead,Joy Ride Collection,166378
259074,2014-06-03,Joy Ride 3,Joy Ride 3,Joy Ride Collection,166378
233063,2013-11-07,Fack ju Göhte,Suck Me Shakespeer,Suck Me Shakespeer Collection,344555
329263,2015-09-10,Fack ju Göhte 2,Suck Me Shakespeer 2,Suck Me Shakespeer Collection,344555
437670,2017-10-26,Fack ju Göhte 3,Suck Me Shakespeer 3,Suck Me Shakespeer Collection,344555
1119774,2024-03-28,Chantal im Märchenland,Chantal in Fairyland,Suck Me Shakespeer Collection,344555
446807,2018-10-25,The Girl in the Spider's Web,The Girl in the Spider's Web,The Girl - Millennium Collection,575987
65754,2011-12-14,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,The Girl - Millennium Collection,575987
277685,2014-10-22,Unfriended,Unfriended,Unfriended Collection,506355
505058,2018-07-19,Unfriended: Dark Web,Unfriended: Dark Web,Unfriended Collection,506355
774333,,Unfriended 3,Unfriended 3,Unfriended Collection,506355
491411,2018-01-20,One Winter Weekend,One Winter Weekend,One Winter Collection,571901
570189,2019-01-12,One Winter Proposal,One Winter Proposal,One Winter Collection,571901
795982,2021-04-03,One Perfect Wedding,One Perfect Wedding,One Winter Collection,571901
19307,1969-05-29,Carry On Camping,Carry On Camping,Carry On Collection,918027
19252,1972-12-01,Carry On Abroad,Carry On Abroad,Carry On Collection,918027
5060,1966-05-20,Carry On Screaming!,Carry On Screaming!,Carry On Collection,918027
26327,1974-02-01,Carry On Dick,Carry On Dick,Carry On Collection,918027
5066,1964-11-08,Carry On Cleo,Carry On Cleo,Carry On Collection,918027
5065,1965-11-26,Carry On Cowboy,Carry On Cowboy,Carry On Collection,918027
32113,1959-08-20,Carry On Teacher,Carry On Teacher,Carry On Collection,918027
19254,1963-06-01,Carry On Cabby,Carry On Cabby,Carry On Collection,918027
32110,1958-08-31,Carry On Sergeant,Carry On Sergeant,Carry On Collection,918027
32109,1964-06-01,Carry On Spying,Carry On Spying,Carry On Collection,918027
26329,1973-11-09,Carry On Girls,Carry On Girls,Carry On Collection,918027
24570,1970-09-20,Carry On Loving,Carry On Loving,Carry On Collection,918027
24571,1972-05-05,Carry On Matron,Carry On Matron,Carry On Collection,918027
32107,1959-01-30,Carry On Nurse,Carry On Nurse,Carry On Collection,918027
21251,1976-10-01,Carry On England,Carry On England,Carry On Collection,918027
5064,1967-12-02,Carry On Doctor,Carry On Doctor,Carry On Collection,918027
21240,1960-02-22,Carry On Constable,Carry On Constable,Carry On Collection,918027
34743,1978-10-12,Carry On Emmannuelle,Carry On Emmannuelle,Carry On Collection,918027
22937,1968-02-12,Carry On Up the Khyber,Carry On Up the Khyber,Carry On Collection,918027
36481,1977-01-01,That's Carry On!,That's Carry On!,Carry On Collection,918027
19725,1992-10-02,Carry On Columbus,Carry On Columbus,Carry On Collection,918027
32115,1961-04-04,Carry On Regardless,Carry On Regardless,Carry On Collection,918027
26190,1962-03-12,Carry On Cruising,Carry On Cruising,Carry On Collection,918027
32105,1964-02-23,Carry On Jack,Carry On Jack,Carry On Collection,918027
5061,1966-12-10,Carry On Don't Lose Your Head,Carry On Don't Lose Your Head,Carry On Collection,918027
24568,1967-08-10,Carry on Follow That Camel,Carry on Follow That Camel,Carry On Collection,918027
19293,1969-12-05,Carry On Again Doctor,Carry On Again Doctor,Carry On Collection,918027
17276,1970-03-20,Carry On Up the Jungle,Carry On Up the Jungle,Carry On Collection,918027
24569,1971-06-03,Carry On Henry,Carry On Henry,Carry On Collection,918027
19297,1971-12-10,Carry On at Your Convenience,Carry On at Your Convenience,Carry On Collection,918027
19300,1975-06-10,Carry On Behind,Carry On Behind,Carry On Collection,918027
218,1984-10-26,The Terminator,The Terminator,The Terminator Collection,528
280,1991-07-03,Terminator 2: Judgment Day,Terminator 2: Judgment Day,The Terminator Collection,528
296,2003-07-02,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,The Terminator Collection,528
534,2009-05-20,Terminator Salvation,Terminator Salvation,The Terminator Collection,528
87101,2015-06-23,Terminator Genisys,Terminator Genisys,The Terminator Collection,528
290859,2019-10-23,Terminator: Dark Fate,Terminator: Dark Fate,The Terminator Collection,528
204349,2013-07-07,Contracted,Contracted,Contracted Collection,358930
345468,2015-07-05,Contracted: Phase II,Contracted: Phase II,Contracted Collection,358930
97430,2012-11-02,The Man with the Iron Fists,The Man with the Iron Fists,The Man with the Iron Fists Collection,334356
321494,2015-03-10,The Man with the Iron Fists 2,The Man with the Iron Fists 2,The Man with the Iron Fists Collection,334356
9398,2001-09-28,Zoolander,Zoolander,Zoolander Collection,352789
329833,2016-02-06,Zoolander 2,Zoolander 2,Zoolander Collection,352789
2292,1994-10-19,Clerks,Clerks,Clerks Collection,182813
2295,2006-07-21,Clerks II,Clerks II,Clerks Collection,182813
635891,2022-09-04,Clerks III,Clerks III,Clerks Collection,182813
66661,1997-01-01,Operation Delta Force,Operation Delta Force,Operation Delta Force Collections,954909
63264,1998-04-10,Operation Delta Force 2: Mayday,Operation Delta Force 2: Mayday,Operation Delta Force Collections,954909
101180,1998-11-23,Operation Delta Force 3: Clear Target,Operation Delta Force 3: Clear Target,Operation Delta Force Collections,954909
116213,1999-12-09,Operation Delta Force 4: Deep Fault,Operation Delta Force 4: Deep Fault,Operation Delta Force Collections,954909
95251,2000-01-19,Operation Delta Force 5: Random Fire,Operation Delta Force V: Random Fire,Operation Delta Force Collections,954909
10134,1989-04-07,Cyborg,Cyborg,Cyborg Collection,98853
16437,1995-03-24,Cyborg 2,Cyborg 2,Cyborg Collection,98853
25391,1995-12-19,Cyborg 3: The Recycler,Cyborg 3: The Recycler,Cyborg Collection,98853
4232,1996-12-20,Scream,Scream,Scream Collection,2602
4233,1997-12-12,Scream 2,Scream 2,Scream Collection,2602
4234,2000-02-04,Scream 3,Scream 3,Scream Collection,2602
41446,2011-04-13,Scream 4,Scream 4,Scream Collection,2602
646385,2022-01-12,Scream,Scream,Scream Collection,2602
934433,2023-03-08,Scream VI,Scream VI,Scream Collection,2602
1159559,2026-02-25,Scream 7,Scream 7,Scream Collection,2602
38700,2020-01-15,Bad Boys for Life,Bad Boys for Life,Bad Boys Collection,14890
9737,1995-04-07,Bad Boys,Bad Boys,Bad Boys Collection,14890
8961,2003-07-18,Bad Boys II,Bad Boys II,Bad Boys Collection,14890
573435,2024-06-05,Bad Boys: Ride or Die,Bad Boys: Ride or Die,Bad Boys Collection,14890
557,2002-05-01,Spider-Man,Spider-Man,Spider-Man Collection,556
558,2004-06-25,Spider-Man 2,Spider-Man 2,Spider-Man Collection,556
559,2007-05-01,Spider-Man 3,Spider-Man 3,Spider-Man Collection,556
43947,2010-06-17,I Spit on Your Grave,I Spit on Your Grave,I Spit on Your Grave Collection,219691
207768,2013-08-25,I Spit on Your Grave 2,I Spit on Your Grave 2,I Spit on Your Grave Collection,219691
357096,2015-10-01,I Spit on Your Grave III: Vengeance Is Mine,I Spit on Your Grave III: Vengeance Is Mine,I Spit on Your Grave Collection,219691
46195,2011-04-03,Rio,Rio,Rio Collection,229932
172385,2014-03-19,Rio 2,Rio 2,Rio Collection,229932
1397127,,Nico and Pedro,Nico and Pedro,Rio Collection,229932
1690,2005-09-17,Hostel,Hostel,Hostel Collection,86578
1691,2007-06-07,Hostel: Part II,Hostel: Part II,Hostel Collection,86578
71670,2011-12-22,Hostel: Part III,Hostel: Part III,Hostel Collection,86578
131631,2014-11-19,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,The Hunger Games Collection,131635
131634,2015-11-18,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,The Hunger Games Collection,131635
70160,2012-03-12,The Hunger Games,The Hunger Games,The Hunger Games Collection,131635
101299,2013-11-15,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,The Hunger Games Collection,131635
695721,2023-11-15,The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games Collection,131635
77930,2012-06-28,Magic Mike,Magic Mike,Magic Mike Collection,328247
264999,2015-07-01,Magic Mike XXL,Magic Mike XXL,Magic Mike Collection,328247
906221,2023-02-09,Magic Mike's Last Dance,Magic Mike's Last Dance,Magic Mike Collection,328247
513574,2018-09-28,Battle,Battle,Battle Collection,1018423
785521,2022-04-01,Battle: Freestyle,Battle: Freestyle,Battle Collection,1018423
233639,2013-03-21,Ostwind,Windstorm,Windstorm Collection,334414
334354,2015-05-14,Ostwind 2,Windstorm 2,Windstorm Collection,334414
422766,2017-07-27,Ostwind 3 - Aufbruch nach Ora,Windstorm 3,Windstorm Collection,334414
550755,2019-02-28,Ostwind - Aris Ankunft,Windstorm 4,Windstorm Collection,334414
680447,2021-07-29,Ostwind - Der große Orkan,Windstorm: The Great Hurricane,Windstorm Collection,334414
464850,2017-06-06,The Immortal Wars,The Immortal Wars,The Immortal Wars Collection,565841
565840,2019-12-13,The Immortal Wars: Resurgence,The Immortal Wars: Resurgence,The Immortal Wars Collection,565841
920258,2021-11-02,The Immortal Wars: Rebirth,The Immortal Wars: Rebirth,The Immortal Wars Collection,565841
1173652,2024-07-15,The Immortal Wars: Dekay's Paradox,The Immortal Wars: Dekay's Paradox,The Immortal Wars Collection,565841
1206762,,The Immortal Wars: Redemption,The Immortal Wars: Redemption,The Immortal Wars Collection,565841
1871,1964-11-04,Fantômas,Fantomas,Fantomas Collection,103001
1870,1965-12-08,Fantômas se déchaîne,Fantomas Unleashed,Fantomas Collection,103001
1875,1967-03-16,Fantômas contre Scotland Yard,Fantomas vs. Scotland Yard,Fantomas Collection,103001
17710,2002-06-28,Hey Arnold! The Movie,Hey Arnold! The Movie,Hey Arnold Movie Collection,725600
439058,2018-04-26,Hey Arnold! The Jungle Movie,Hey Arnold! The Jungle Movie,Hey Arnold Movie Collection,725600
27769,1991-05-07,Sometimes They Come Back,Sometimes They Come Back,Sometimes They Come Back Collection,168545
27770,1996-09-03,Sometimes They Come Back... Again,Sometimes They Come Back... Again,Sometimes They Come Back Collection,168545
27771,1998-11-01,Sometimes They Come Back... for More,Sometimes They Come Back... for More,Sometimes They Come Back Collection,168545
10865,2001-06-02,Atlantis: The Lost Empire,Atlantis: The Lost Empire,Atlantis Collection,100965
8965,2003-02-25,Atlantis: Milo's Return,Atlantis: Milo's Return,Atlantis Collection,100965
11846,1991-12-20,Father of the Bride,Father of the Bride,Father of the Bride (Steve Martin) Collection,96871
11862,1995-12-08,Father of the Bride Part II,Father of the Bride Part II,Father of the Bride (Steve Martin) Collection,96871
249397,2013-12-25,Nymphomaniac: Vol. II,Nymphomaniac: Vol. II,Nymphomaniac Collection,258664
258216,2013-12-25,Nymphomaniac: Vol. I,Nymphomaniac: Vol. I,Nymphomaniac Collection,258664
556803,2018-11-16,The Princess Switch,The Princess Switch,The Princess Switch Collection,713330
643882,2020-11-19,The Princess Switch: Switched Again,The Princess Switch: Switched Again,The Princess Switch Collection,713330
785533,2021-11-18,The Princess Switch 3: Romancing the Star,The Princess Switch 3: Romancing the Star,The Princess Switch Collection,713330
11077,1990-07-27,Problem Child,Problem Child,Problem Child Collection,180854
28601,1995-05-13,Problem Child 3,Problem Child 3,Problem Child Collection,180854
28597,1991-07-03,Problem Child 2,Problem Child 2,Problem Child Collection,180854
767896,2020-12-07,De Familie Claus,The Claus Family,The Claus Family Collection,1043070
881180,2021-12-07,De Familie Claus 2,The Claus Family 2,The Claus Family Collection,1043070
1051959,2022-12-07,De Familie Claus 3,The Claus Family 3,The Claus Family Collection,1043070
17529,1969-06-11,True Grit,True Grit,Rooster Cogburn Collection,584320
17538,1975-11-01,Rooster Cogburn,Rooster Cogburn,Rooster Cogburn Collection,584320
108807,1978-05-19,True Grit: A Further Adventure,True Grit: A Further Adventure,Rooster Cogburn Collection,584320
90342,1968-09-21,Joe... cercati un posto per morire!,Find a Place to Die,Ringo Collection,473730
56431,1965-05-12,Una pistola per Ringo,A Pistol for Ringo,Ringo Collection,473730
63260,1965-12-08,Il ritorno di Ringo,The Return of Ringo,Ringo Collection,473730
253,1973-06-27,Live and Let Die,Live and Let Die,James Bond Collection,645
646,1962-10-07,Dr. No,Dr. No,James Bond Collection,645
657,1963-10-10,From Russia with Love,From Russia with Love,James Bond Collection,645
658,1964-09-20,Goldfinger,Goldfinger,James Bond Collection,645
660,1965-12-11,Thunderball,Thunderball,James Bond Collection,645
667,1967-06-13,You Only Live Twice,You Only Live Twice,James Bond Collection,645
668,1969-12-18,On Her Majesty's Secret Service,On Her Majesty's Secret Service,James Bond Collection,645
681,1971-12-14,Diamonds Are Forever,Diamonds Are Forever,James Bond Collection,645
682,1974-12-04,The Man with the Golden Gun,The Man with the Golden Gun,James Bond Collection,645
691,1977-07-07,The Spy Who Loved Me,The Spy Who Loved Me,James Bond Collection,645
698,1979-06-26,Moonraker,Moonraker,James Bond Collection,645
699,1981-06-24,For Your Eyes Only,For Your Eyes Only,James Bond Collection,645
700,1983-06-05,Octopussy,Octopussy,James Bond Collection,645
707,1985-05-24,A View to a Kill,A View to a Kill,James Bond Collection,645
709,1989-06-13,Licence to Kill,Licence to Kill,James Bond Collection,645
710,1995-11-16,GoldenEye,GoldenEye,James Bond Collection,645
714,1997-12-11,Tomorrow Never Dies,Tomorrow Never Dies,James Bond Collection,645
10764,2008-10-29,Quantum of Solace,Quantum of Solace,James Bond Collection,645
36557,2006-11-14,Casino Royale,Casino Royale,James Bond Collection,645
36643,1999-11-17,The World Is Not Enough,The World Is Not Enough,James Bond Collection,645
36669,2002-11-17,Die Another Day,Die Another Day,James Bond Collection,645
37724,2012-10-24,Skyfall,Skyfall,James Bond Collection,645
206647,2015-10-26,Spectre,Spectre,James Bond Collection,645
708,1987-06-29,The Living Daylights,The Living Daylights,James Bond Collection,645
370172,2021-09-29,No Time to Die,No Time to Die,James Bond Collection,645
36670,1983-10-07,Never Say Never Again,Never Say Never Again,James Bond Collection,645
102382,2014-04-16,The Amazing Spider-Man 2,The Amazing Spider-Man 2,The Amazing Spider-Man Collection,125574
1930,2012-06-23,The Amazing Spider-Man,The Amazing Spider-Man,The Amazing Spider-Man Collection,125574
8346,2002-04-19,My Big Fat Greek Wedding,My Big Fat Greek Wedding,My Big Fat Greek Wedding Collection,389767
302688,2016-03-23,My Big Fat Greek Wedding 2,My Big Fat Greek Wedding 2,My Big Fat Greek Wedding Collection,389767
1001811,2023-09-07,My Big Fat Greek Wedding 3,My Big Fat Greek Wedding 3,My Big Fat Greek Wedding Collection,389767
605193,2020-02-12,정직한 후보,Honest Candidate,Honest Candidate Collection,795277
795276,2022-09-28,정직한 후보 2,Honest Candidate 2,Honest Candidate Collection,795277
3980,1986-04-11,Critters,Critters,Critters Collection,10893
10127,1988-04-29,Critters 2,Critters 2,Critters Collection,10893
12702,1991-12-11,Critters 3,Critters 3,Critters Collection,10893
12525,1992-08-20,Critters 4,Critters 4,Critters Collection,10893
597856,2019-07-13,Critters Attack!,Critters Attack!,Critters Collection,10893
176,2004-10-01,Saw,Saw,Saw Collection,656
215,2005-10-28,Saw II,Saw II,Saw Collection,656
214,2006-10-26,Saw III,Saw III,Saw Collection,656
663,2007-10-25,Saw IV,Saw IV,Saw Collection,656
11917,2008-10-23,Saw V,Saw V,Saw Collection,656
22804,2009-10-22,Saw VI,Saw VI,Saw Collection,656
41439,2010-10-22,Saw 3D,Saw 3D,Saw Collection,656
298250,2017-10-25,Jigsaw,Jigsaw,Saw Collection,656
951491,2023-09-27,Saw X,Saw X,Saw Collection,656
602734,2021-05-12,Spiral: From the Book of Saw,Spiral: From the Book of Saw,Saw Collection,656
1207360,2025-09-25,Saw XI,Saw XI,Saw Collection,656
513691,2018-06-05,The Debt Collector,The Debt Collector,The Debt Collector Collection,709271
647785,2020-05-29,Debt Collectors,Debt Collectors,The Debt Collector Collection,709271
10345,1989-04-28,K-9,K-9,K-9 Collection,88735
47354,2002-07-30,K-9: P.I.,K-9: P.I.,K-9 Collection,88735
41586,1999-12-07,K-911,K-911,K-9 Collection,88735
10766,1978-06-09,Damien: Omen II,Damien: Omen II,The Omen Collection,10919
10768,1981-03-20,The Final Conflict,The Final Conflict,The Omen Collection,10919
794,1976-06-25,The Omen,The Omen,The Omen Collection,10919
17792,1991-07-19,Omen IV: The Awakening,Omen IV: The Awakening,The Omen Collection,10919
437342,2024-04-03,The First Omen,The First Omen,The Omen Collection,10919
865559,2022-12-02,Your Christmas or Mine?,Your Christmas or Mine?,Your Christmas or Mine Collection,1186471
