id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
11298,1981-01-21,The Howling,The Howling,The Howling Collection,174218,1691989.0
29794,1985-08-28,Howling II: Stirba - Werewolf Bitch,Howling II: Stirba - Werewolf Bitch,The Howling Collection,174218,2901971.0
38500,1988-11-01,Howling IV: The Original Nightmare,Howling IV: The Original Nightmare,The Howling Collection,174218,3096248.0
35945,1989-05-01,Howling V: The Rebirth,Howling V: The Rebirth,The Howling Collection,174218,3012123.0
36421,1991-04-18,Howling VI: The Freaks,Howling VI: The Freaks,The Howling Collection,174218,3112333.0
38499,1995-10-17,Howling: New Moon Rising,Howling: New Moon Rising,The Howling Collection,174218,3365981.0
32595,1987-05-15,Howling III: The Marsupials,Howling III: The Marsupials,The Howling Collection,174218,2711278.0
75623,2011-10-18,The Howling: Reborn,The Howling: Reborn,The Howling Collection,174218,32422858.0
24674,2004-03-18,見鬼2,The Eye 2,The Eye Collection,264335,4348164.0
33723,2005-03-24,見鬼10,The Eye 3: Infinity,The Eye Collection,264335,44240443.0
10389,2002-05-09,見鬼,The Eye,The Eye Collection,264335,2192765.0
51322,2010-10-13,童眼,The Child's Eye,The Eye Collection,264335,28829559.0
805,1968-06-12,Rosemary's Baby,Rosemary's Baby,Rosemary's Baby Collection,264338,9830229.0
117258,1976-10-29,Look What's Happened to Rosemary's Baby,Look What's Happened to Rosemary's Baby,Rosemary's Baby Collection,264338,7625729.0
807339,2024-09-20,Apartment 7A,Apartment 7A,Rosemary's Baby Collection,264338,67143812.0
57800,2012-06-27,Ice Age: Continental Drift,Ice Age: Continental Drift,Ice Age Collection,8354,29609480.0
425,2002-03-10,Ice Age,Ice Age,Ice Age Collection,8354,23416020.0
8355,2009-06-26,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,Ice Age Collection,8354,12260598.0
950,2006-03-29,Ice Age: The Meltdown,Ice Age: The Meltdown,Ice Age Collection,8354,2303174.0
278154,2016-06-23,Ice Age: Collision Course,Ice Age: Collision Course,Ice Age Collection,8354,47460310.0
774825,2022-01-28,The Ice Age Adventures of Buck Wild,The Ice Age Adventures of Buck Wild,Ice Age Collection,8354,68410164.0
1384758,,Ice Age 6,Ice Age 6,Ice Age Collection,8354,63491448.0
96195,1963-11-02,眠狂四郎殺法帖,Sleepy Eyes of Death 1: The Chinese Jade,Sleepy Eyes of Death Collection,460969,8633991.0
96250,1964-01-09,眠狂四郎勝負,Sleepy Eyes of Death 2: Sword of Adventure,Sleepy Eyes of Death Collection,460969,9979.0
96257,1964-05-23,眠狂四郎円月斬り,Sleepy Eyes of Death 3: Full Circle Killing,Sleepy Eyes of Death Collection,460969,8633991.0
131435,1964-10-17,眠狂四郎女妖剣,Sleepy Eyes of Death 4: Sword of Seduction,Sleepy Eyes of Death Collection,460969,8633991.0
131443,1965-01-12,眠狂四郎炎情剣,Sleepy Eyes of Death 5: Sword of Fire,Sleepy Eyes of Death Collection,460969,8633991.0
131444,1965-04-30,眠狂四郎魔性劍,Sleepy Eyes of Death 6: Sword of Satan,Sleepy Eyes of Death Collection,460969,2483209.0
128715,1966-03-12,眠狂四郎多情剣,Sleepy Eyes of Death 7: The Mask of the Princess,Sleepy Eyes of Death Collection,460969,55601.0
128708,1966-11-09,眠狂四郎無頼剣,Sleepy Eyes of Death 8: Sword of Villainy,Sleepy Eyes of Death Collection,460969,8633991.0
139555,1967-07-15,眠狂四郎無頼控 魔性の肌,Sleepy Eyes of Death 9: Trail of Traps,Sleepy Eyes of Death Collection,460969,8633991.0
96269,1968-01-13,眠狂四郎女地獄,Sleepy Eyes of Death 10: Hell Is a Woman,Sleepy Eyes of Death Collection,460969,8633991.0
151408,1968-05-01,眠狂四郎人肌蜘蛛,Sleepy Eyes of Death 11: In the Spider's Lair,Sleepy Eyes of Death Collection,460969,8633991.0
241186,1969-01-11,眠狂四郎悪女狩り,Sleepy Eyes of Death 12: Castle Menagerie,Sleepy Eyes of Death Collection,460969,8633991.0
299836,1969-10-04,眠狂四郎円月殺法,Sleepy Eyes of Death 13: The Full Moon Swordsman,Sleepy Eyes of Death Collection,460969,8633991.0
284820,1969-12-20,眠狂四郎 卍斬り,Sleepy Eyes Of Death 14: Fylfot Swordplay,Sleepy Eyes of Death Collection,460969,8633991.0
395434,1917-06-30,The Lone Wolf,The Lone Wolf,Lone Wolf Collection,395433,4655071.0
388321,1924-04-27,The Lone Wolf,The Lone Wolf,Lone Wolf Collection,395433,4655071.0
395436,1926-08-15,The Lone Wolf Returns,The Lone Wolf Returns,Lone Wolf Collection,395433,55383222.0
395440,1927-08-22,Alias the Lone Wolf,Alias the Lone Wolf,Lone Wolf Collection,395433,65972961.0
174942,1919-02-15,The False Faces,The False Faces,Lone Wolf Collection,395433,18161370.0
395443,1930-08-26,The Last of the Lone Wolf,The Last of the Lone Wolf,Lone Wolf Collection,395433,4655071.0
167075,1935-12-31,The Lone Wolf Returns,The Lone Wolf Returns,Lone Wolf Collection,395433,55383222.0
152823,1938-05-25,The Lone Wolf in Paris,The Lone Wolf in Paris,Lone Wolf Collection,395433,34084931.0
149793,1939-01-27,The Lone Wolf Spy Hunt,The Lone Wolf Spy Hunt,Lone Wolf Collection,395433,17607501.0
85232,1940-01-26,The Lone Wolf Strikes,The Lone Wolf Strikes,Lone Wolf Collection,395433,55051681.0
85231,1940-05-30,The Lone Wolf Meets a Lady,The Lone Wolf Meets a Lady,Lone Wolf Collection,395433,33872851.0
