,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,Unnamed: 0,id,release_date,original_title,title,collection,collection_id
528,20271784,/m/04zz4cy,Les Bronzés font du ski,1979-11-22,,83.0,{},"{""/m/0f8l9c"": ""France""}","{""/m/01z4y"": ""Comedy""}",1489,33701,1979-11-22,Les Bronzés font du ski,French Fried Vacation 2,French Fried Vacation,52835
638,28010827,/m/0c3tkft,Open Season 3,2010,7399925.0,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01zhp"": ""Computer Animation"", ""/m/0hqxf"": ""Family Film"", ""/m/0hcr"": ""Animation""}",1120,51170,2010-10-21,Open Season 3,Open Season 3,Open Season Collection,66761
667,21260121,/m/05c3q8c,Kickboxer 3,1992,,91.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/01jfsb"": ""Thriller"", ""/m/02kdv5l"": ""Action"", ""/m/04t2t"": ""Martial Arts Film""}",809,39027,1992-06-11,Kickboxer 3: The Art of War,Kickboxer 3: The Art of War,Kickboxer Collection,105322
771,399402,/m/023p33,Cinderella,1950-02-15,85000000.0,74.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02l7c8"": ""Romance Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film"", ""/m/04t36"": ""Musical"", ""/m/0hcr"": ""Animation""}",60,11224,1950-02-22,Cinderella,Cinderella,Cinderella Collection,55419
870,4188689,/m/0crv7_0,Emanuelle in America,1977,,100.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/03rjj"": ""Italy""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}",1666,28682,1977-01-05,Emanuelle in America,Emanuelle in America,Black Emanuelle Collection,227140
902,3694061,/m/09vttt,Carry On Teacher,1959-08,,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy""}",456,32113,1959-08-20,Carry On Teacher,Carry On Teacher,Carry On Collection,918027
960,1612686,/m/05gmn3,Halloween Resurrection,2002-07-12,37664855.0,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",1153,11442,2002-07-01,Halloween: Resurrection,Halloween: Resurrection,Halloween Collection,91361
983,5137345,/m/0d4glc,Ninja III: The Domination,1984,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02kdv5l"": ""Action"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/0219x_"": ""Indie""}",739,28148,1984-09-14,Ninja III: The Domination,Ninja III: The Domination,The Ninja Trilogy,373538
1030,5682615,/m/0dzydf,Malibu Express,1985,,105.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0gf28"": ""Parody"", ""/m/028v3"": ""Detective fiction"", ""/m/0219x_"": ""Indie"", ""/m/0vjs6"": ""Detective"", ""/m/02n4kr"": ""Mystery"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/01z4y"": ""Comedy"", ""/m/02kdv5l"": ""Action"", ""/m/0bkbm"": ""Spy""}",886,64494,1985-03-01,Malibu Express,Malibu Express,"Bullets, Bombs, and Babes Collection",736172
1034,25417587,/m/09k629x,Mano Po,2002,,110.0,"{""/m/07qv_"": ""Tagalog language"", ""/m/01c44b"": ""Min Nan"", ""/m/0653m"": ""Standard Mandarin"", ""/m/01jb8r"": ""Filipino language""}","{""/m/05v8c"": ""Philippines""}","{""/m/07s9rl0"": ""Drama"", ""/m/0gxblw4"": ""Filipino Movies"", ""/m/03q4nz"": ""World cinema""}",1463,352709,2002-12-25,Mano Po,Mano Po,Mano Po Collection,527954
1045,3504034,/m/09h37b,The Mummy's Ghost,1944-07-07,,61.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03jp5h0"": ""Archaeology"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film""}",327,29243,1944-07-07,The Mummy's Ghost,The Mummy's Ghost,The Mummy (Universal) Collection,221544
1185,9555242,/m/07s4d6n,The Cheetah Girls: One World,2008-08-22,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",1713,27621,2008-08-22,The Cheetah Girls: One World,The Cheetah Girls: One World,The Cheetah Girls Collection,425880
1196,1918683,/m/066189,Return of the Killer Tomatoes,1988,,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0gf28"": ""Parody"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure""}",825,15482,1988-04-22,Return of the Killer Tomatoes!,Return of the Killer Tomatoes!,Killer Tomatoes! Collection,47983
1253,683122,/m/04j1zjw,Bambi,1942-08-08,267447150.0,69.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/01j1n2"": ""Coming of age"", ""/m/0hj3myc"": ""Children's Fantasy"", ""/m/0hj3mtv"": ""Animated Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film""}",1124,3170,1942-02-11,Bambi,Bambi,Bambi Collection,87250
1403,3635024,/m/09rbc5,In Harihar Nagar,1990,,,"{""/m/0999q"": ""Malayalam Language""}","{""/m/03rk0"": ""India""}","{""/m/0n6m8vw"": ""Malayalam Cinema"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",1776,322018,1990-05-17,ഇൻ ഹരിഹർ നഗർ,In Harihar Nagar,Harihar Nagar  Collection,415694
1445,3511253,/m/09hjcp,Police Academy 3: Back in Training,1986-03-21,43579163.0,83.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",1061,12118,1986-03-20,Police Academy 3: Back in Training,Police Academy 3: Back in Training,Police Academy Collection,9338
1532,2236141,/m/06y5pv,Son of Paleface,1952,3400000.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3mzj"": ""Comedy Western"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hfjk"": ""Western"", ""/m/06nbt"": ""Satire"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3mz5"": ""Comedy of Errors"", ""/m/02kdv5l"": ""Action""}",221,30801,1952-07-14,Son of Paleface,Son of Paleface,The Paleface Collection,456980
1534,2002258,/m/06d6ch,Halloween 4: The Return of Michael Myers,1988-10-21,17768757.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen"", ""/m/0219x_"": ""Indie""}",1149,11357,1988-10-21,Halloween 4: The Return of Michael Myers,Halloween 4: The Return of Michael Myers,Halloween Collection,91361
1652,9764248,/m/02prgzz,Fantômas,,,105.0,"{""/m/064_8sq"": ""French Language""}","{""/m/0f8l9c"": ""France""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/01z4y"": ""Comedy""}",547,1871,1964-11-04,Fantômas,Fantomas,Fantomas Collection,103001
1701,685987,/m/032xt8,Major League,1989-04-07,49797148.0,107.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01z02hx"": ""Sports"", ""/m/06nbt"": ""Satire"", ""/m/01z4y"": ""Comedy""}",1360,9942,1989-02-16,Major League,Major League,Major League Collection,97771
1709,14728039,/m/03gvs7d,Love's Unfolding Dream,2007,,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04p5fxn"": ""Christian film"", ""/m/015w9s"": ""Television movie"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",1511,49857,2007-12-15,Love's Unfolding Dream,Love's Unfolding Dream,Love Comes Softly Collection,97919
1724,74868,/m/0jym0,The Last Picture Show,1971-10-03,29133000.0,126.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/0clz1b"": ""Slice of life story"", ""/m/09n5t_"": ""Americana"", ""/m/01g6gs"": ""Black-and-white"", ""/m/04xvlr"": ""Period piece"", ""/m/01j1n2"": ""Coming of age"", ""/m/060__y"": ""Film adaptation"", ""/m/07s9rl0"": ""Drama"", ""/m/03pgfj"": ""New Hollywood""}",294,25188,1971-10-03,The Last Picture Show,The Last Picture Show,The Last Picture Show and Texasville,751961
1729,2939386,/m/08d_kk,Max Hell Frog Warrior,2002,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action""}",678,146026,1996-03-19,Toad Warrior,Toad Warrior,The Frogtown Collection,160468
1729,2939386,/m/08d_kk,Max Hell Frog Warrior,2002,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action""}",679,146037,2002-10-01,Max Hell Frog Warrior,Max Hell Frog Warrior,The Frogtown Collection,160468
1924,878005,/m/03l0dw,Ong-Bak: Muay Thai Warrior,2003-10-23,,101.0,"{""/m/02h40lc"": ""English Language"", ""/m/0c_v2"": ""Thai Language""}","{""/m/07f1x"": ""Thailand""}","{""/m/01jfsb"": ""Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",349,9316,2003-01-21,องค์บาก,Ong-Bak,Ong Bak Collection,94589
2017,445066,/m/0299hs,RoboCop,1987-07-17,53424681.0,103.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/06n90"": ""Science Fiction"", ""/m/04pbhw"": ""Superhero movie"", ""/m/06qln"": ""Stop motion"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/06nbt"": ""Satire"", ""/m/02kdv5l"": ""Action""}",1306,5548,1987-07-17,RoboCop,RoboCop,RoboCop Collection,5547
2022,25292924,/m/09gd35x,Mano Po 6: A Mother's Love,2009,,110.0,"{""/m/07qv_"": ""Tagalog language"", ""/m/01c44b"": ""Min Nan"", ""/m/01jb8r"": ""Filipino language""}","{""/m/05v8c"": ""Philippines"", ""/m/0d05w3"": ""China""}","{""/m/07s9rl0"": ""Drama"", ""/m/0gw5qqq"": ""Chinese Movies"", ""/m/03q4nz"": ""World cinema"", ""/m/0gxblw4"": ""Filipino Movies""}",1469,34458,2009-12-25,Mano Po 6: A Mother's Love,Mano Po 6: A Mother's Love,Mano Po Collection,527954
2036,46505,/m/0ckt6,Airplane!,1980-07-02,83453539.0,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0gf28"": ""Parody"", ""/m/0hj3n0w"": ""Ensemble Film"", ""/m/01hwc6"": ""Absurdism"", ""/m/01q03"": ""Cult"", ""/m/06nbt"": ""Satire"", ""/m/01z4y"": ""Comedy"", ""/m/01drsx"": ""Disaster"", ""/m/02l7c8"": ""Romance Film"", ""/m/01xpvb7"": ""Airplanes and airports""}",1396,813,1980-07-02,Airplane!,Airplane!,Airplane Collection,91663
2143,17247457,/m/043l16h,Francis Covers the Big Town,1953-06-17,1800000.0,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hj3mtj"": ""Animal Picture"", ""/m/01g6gs"": ""Black-and-white"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy""}",861,88674,1953-06-10,Francis Covers the Big Town,Francis Covers the Big Town,Francis the Talking Mule Collection,693136
2150,12151513,/m/02vrgvy,The History of White People in America,,,,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/0l4h_"": ""Mockumentary"", ""/m/01z4y"": ""Comedy""}",1002,272114,1985-06-04,The History of White People in America,The History of White People in America,The History of White People in America Collection,1137702
2150,12151513,/m/02vrgvy,The History of White People in America,,,,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/0l4h_"": ""Mockumentary"", ""/m/01z4y"": ""Comedy""}",1003,439414,1986-01-01,The History of White People in America: Volume II,The History of White People in America: Volume II,The History of White People in America Collection,1137702
2243,9281223,/m/0282wvn,Family,2001-03-10,,158.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/01jfsb"": ""Thriller"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action""}",1050,355185,2001-09-21,Family 2,Family 2,Takashi Miike's Family saga,474219
2290,2718584,/m/07ztw1,Gamera 3: Awakening of Irys,1999,,110.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0g092b"": ""Monster movie"", ""/m/06n90"": ""Science Fiction"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03q4nz"": ""World cinema""}",1728,60159,1999-03-06,ガメラ3 邪神＜イリス＞覚醒,Gamera 3: Revenge of Iris,Gamera (Heisei) Collection,657313
2295,19787914,/m/0bwhdbl,Scream 4,2011-04-11,97138686.0,111.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0gf28"": ""Parody"", ""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/02n4kr"": ""Mystery"", ""/m/0hj3n7f"": ""Horror Comedy"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",527,41446,2011-04-13,Scream 4,Scream 4,Scream Collection,2602
2356,6563151,/m/0gbr99,Amityville 1992,1992,,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",494,41671,1992-07-16,Amityville 1992: It's About Time,Amityville 1992: It's About Time,The Amityville Collection,397842
2360,24954740,/m/09gq58_,The Terror Within II,1991-01-18,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror""}",1162,119353,1991-01-18,The Terror Within II,The Terror Within II,Terror Within Collection,744694
2401,2609169,/m/07rgg3,The Pink Panther,1963-12-19,10878107.0,115.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0gf28"": ""Parody"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/09q17"": ""Slapstick""}",877,936,1963-12-18,The Pink Panther,The Pink Panther,The Pink Panther (Original) Collection,937
2411,2761187,/m/08159z,The Prophecy 3: The Ascent,2000-03-14,,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror""}",817,9011,2000-03-14,The Prophecy 3: The Ascent,The Prophecy 3: The Ascent,The Prophecy Collection,9068
2464,186856,/m/019k65,The Omen,1976-06-25,60922980.0,111.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/04h9h"": ""Latin Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0g9psvk"": ""Demonic child"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/09blyk"": ""Psychological thriller"", ""/m/01q03"": ""Cult"", ""/m/02n4kr"": ""Mystery""}",659,794,1976-06-25,The Omen,The Omen,The Omen Collection,10919
2578,2509885,/m/02p6k7z,Critters 4,1991,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0hj3n7f"": ""Horror Comedy"", ""/m/0vgkd"": ""Black comedy""}",643,12525,1992-08-20,Critters 4,Critters 4,Critters Collection,10893
2588,2509859,/m/02p6k7l,Critters 2: The Main Course,1988,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0hj3mt0"": ""Alien Film"", ""/m/0hj3n7f"": ""Horror Comedy"", ""/m/0vgkd"": ""Black comedy""}",641,10127,1988-04-29,Critters 2,Critters 2,Critters Collection,10893
2600,6446044,/m/0g5pv3,For Your Eyes Only,1981-06-24,195300000.0,127.0,"{""/m/0349s"": ""Greek Language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hj3n4h"": ""Glamorized Spy Film"", ""/m/02kdv5l"": ""Action"", ""/m/0bkbm"": ""Spy""}",620,699,1981-06-24,For Your Eyes Only,For Your Eyes Only,James Bond Collection,645
2616,17657295,/m/047s7cs,Macon County Line,1974,18800000.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie""}",1774,42450,1974-08-08,Macon County Line,Macon County Line,Macon County Collection,458697
2683,2980843,/m/08hj23,Love Comes Softly,2003-04-13,,84.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04p5fxn"": ""Christian film"", ""/m/015w9s"": ""Television movie"", ""/m/04xvh5"": ""Costume drama"", ""/m/0hfjk"": ""Western"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",1506,16250,2003-04-13,Love Comes Softly,Love Comes Softly,Love Comes Softly Collection,97919
2717,34307129,/m/0hzrsm6,Operazione San Pietro,1967-12-29,,,{},{},"{""/m/0lsxr"": ""Crime Fiction"", ""/m/05p553"": ""Comedy film""}",447,90644,1967-12-29,Operazione San Pietro,Operation San Pietro,Pater Brown Collection,221691
2885,5513348,/m/0dq8z4,Warlock III: The End of Innocence,1999,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/01hmnh"": ""Fantasy"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural""}",1366,26042,1999-10-12,Warlock III: The End of Innocence,Warlock III: The End of Innocence,Warlock Collection,87536
3001,5865108,/m/0f9rzg,Keerthi Chakra,2006,,,"{""/m/0999q"": ""Malayalam Language"", ""/m/07c9s"": ""Tamil Language""}","{""/m/03rk0"": ""India""}","{""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}",1806,69554,2006-06-06,കീര്‍ത്തിചക്ര,Keerthi Chakra,Major Mahadevan Collection,415712
3035,146947,/m/012s1d,Spider-Man,2002-05-03,821708551.0,121.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/04pbhw"": ""Superhero movie"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/01j1n2"": ""Coming of age"", ""/m/02kdv5l"": ""Action""}",531,557,2002-05-01,Spider-Man,Spider-Man,Spider-Man Collection,556
3040,1338432,/m/04txm3,Rebirth of Mothra,1996-12-14,,104.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/01hmnh"": ""Fantasy"", ""/m/0h9qh"": ""Monster""}",1570,36214,1996-12-14,モスラ,Rebirth of Mothra,Rebirth of Mothra Collection,171732
3077,3979809,/m/0b9t_3,Return of the Living Dead,1985-08-16,14237880.0,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/094ddt"": ""Doomsday film"", ""/m/01q03"": ""Cult"", ""/m/06nbt"": ""Satire"", ""/m/01z4y"": ""Comedy"", ""/m/0jb4p32"": ""Zombie Film""}",1040,10925,1985-04-25,The Return of the Living Dead,The Return of the Living Dead,Return of the Living Dead Collection,101471
