,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,Unnamed: 0,id,release_date,original_title,title,release year
3163,4345625,/m/0by91_,Pocahontas II: Journey to a New World,1998-08-04,0.0,72.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/0bj8m2"": ""Children's"", ""/m/04rlf"": ""Music"", ""/m/02l7c8"": ""Romance Film"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3n26"": ""Family-Oriented Adventure""}",145,13761,1998-08-04,Pocahontas II: Journey to a New World,Pocahontas II: Journey to a New World,1998.0
3347,5150937,/m/0d53kr,Cinderella III: A Twist in Time,2007-02-06,0.0,74.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/01hmnh"": ""Fantasy"", ""/m/095bb"": ""Animated cartoon"", ""/m/0hqxf"": ""Family Film"", ""/m/02l7c8"": ""Romance Film""}",64,16119,2007-02-06,Cinderella III: A Twist in Time,Cinderella III: A Twist in Time,2007.0
3583,24937614,/m/09gdj6s,Nemesis 4: Death Angel,1996,0.0,65.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action""}",530,60173,1996-12-23,Nemesis 4: Death Angel,Nemesis 4: Death Angel,1996.0
3704,2810331,/m/0844xc,Poison Ivy II: Lily,1996,0.0,108.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0219x_"": ""Indie"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/0c3351"": ""Suspense"", ""/m/02js9"": ""Erotica""}",176,18220,1996-01-16,Poison Ivy 2: Lily,Poison Ivy 2: Lily,1996.0
4110,27265073,/m/0bwkyn3,Ghost Punting,1992,1060223.0,94.0,"{""/m/0459q4"": ""Standard Cantonese""}","{""/m/03h64"": ""Hong Kong""}","{""/m/0gw5qqq"": ""Chinese Movies""}",285,63032,1992-02-01,五福星撞鬼,Ghost Punting,1992.0
4513,6021280,/m/0fkzvz,Scream Blacula Scream,1973-06-27,0.0,96.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/018td"": ""Blaxploitation"", ""/m/03npn"": ""Horror""}",457,42466,1973-06-27,Scream Blacula Scream,Scream Blacula Scream,1973.0
5066,1632587,/m/05j6ln,The Bad News Bears in Breaking Training,1977-07-08,19104350.0,99.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/01z02hx"": ""Sports"", ""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy"", ""/m/018jz"": ""Baseball""}",229,19050,1977-07-08,The Bad News Bears in Breaking Training,The Bad News Bears in Breaking Training,1977.0
5513,2705562,/m/07z443,Abbott and Costello Meet the Invisible Man,1951-03-19,1550000.0,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0gf28"": ""Parody"", ""/m/028v3"": ""Detective fiction"", ""/m/03npn"": ""Horror"", ""/m/0vjs6"": ""Detective"", ""/m/0jdm8"": ""Remake"", ""/m/01g6gs"": ""Black-and-white"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/09q17"": ""Slapstick""}",289,33475,1951-04-12,Bud Abbott and Lou Costello Meet the Invisible Man,Bud Abbott and Lou Costello Meet the Invisible Man,1951.0
5731,3520781,/m/09j3_r,Dr. Dolittle 3,2006,0.0,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy""}",66,18843,2006-04-25,Dr. Dolittle 3,Dr. Dolittle 3,2006.0
5901,2159529,/m/06r71t,Airport 1975,1974-10-18,47285152.0,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hj3n0w"": ""Ensemble Film"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/01drsx"": ""Disaster"", ""/m/02kdv5l"": ""Action"", ""/m/01xpvb7"": ""Airplanes and airports""}",83,27932,1974-10-18,Airport 1975,Airport 1975,1974.0
6190,262465,/m/01mypy,Mad Max 2: The Road Warrior,1981-12-24,24600832.0,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0chghy"": ""Australia""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hn10"": ""LGBT"", ""/m/06n90"": ""Science Fiction"", ""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/04228s"": ""Road movie"", ""/m/0hc1z"": ""Apocalyptic and post-apocalyptic fiction"", ""/m/02kdv5l"": ""Action"", ""/m/026ny"": ""Dystopia"", ""/m/03k9fj"": ""Adventure""}",53,8810,1981-12-24,Mad Max 2,Mad Max 2,1981.0
6532,697246,/m/033mlr,The Cat Returns,2002-07-20,54016370.0,75.0,"{""/m/064_8sq"": ""French Language"", ""/m/03_9r"": ""Japanese Language"", ""/m/05zjd"": ""Portuguese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/0jxy"": ""Anime"", ""/m/01hmnh"": ""Fantasy"", ""/m/0bj8m2"": ""Children's"", ""/m/07s9rl0"": ""Drama"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3myc"": ""Children's Fantasy""}",20,15370,2002-07-19,猫の恩返し,The Cat Returns,2002.0
6693,3038038,/m/08md65,A Nightmare on Elm Street 4: The Dream Master,1988-08-19,49369899.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen"", ""/m/0fdjb"": ""Supernatural""}",88,10131,1988-08-19,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street 4: The Dream Master,1988.0
6828,529276,/m/02l_j_,Jaws: The Revenge,1987-07-17,51881013.0,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/06vxwl5"": ""Natural horror films"", ""/m/02kdv5l"": ""Action"", ""/m/03npn"": ""Horror"", ""/m/01jfsb"": ""Thriller""}",131,580,1987-07-17,Jaws: The Revenge,Jaws: The Revenge,1987.0
6829,4721525,/m/0ck05x,Project A-ko 4: FINAL,1989-10-07,0.0,,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/05p553"": ""Comedy film"", ""/m/06n90"": ""Science Fiction"", ""/m/0hcr"": ""Animation""}",658,134831,1989-10-06,プロジェクトA子 - 完結篇,Project A-Ko 4: Final,1989.0
6874,2055366,/m/06hysr,Dracula's Daughter,1936-05-11,0.0,70.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01g6gs"": ""Black-and-white""}",287,22440,1936-05-11,Dracula's Daughter,Dracula's Daughter,1936.0
6904,1076567,/m/043wvb,Airport '77,1977-03-11,30000000.0,114.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hj3n0w"": ""Ensemble Film"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/01drsx"": ""Disaster"", ""/m/02kdv5l"": ""Action"", ""/m/01xpvb7"": ""Airplanes and airports""}",218,7227,1977-03-11,Airport '77,Airport '77,1977.0
6960,3302848,/m/094d7k,Frankenstein Meets the Wolf Man,1943-03-05,0.0,74.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01g6gs"": ""Black-and-white""}",314,3076,1943-03-05,Frankenstein Meets the Wolf Man,Frankenstein Meets the Wolf Man,1943.0
7289,2871613,/m/0884wb,The Jewel of the Nile,1985-12-11,96773200.0,107.0,"{""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0f8l9c"": ""France"", ""/m/04wgh"": ""Morocco""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hj3msd"": ""Adventure Comedy"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action""}",147,10303,1985-08-01,The Jewel of the Nile,The Jewel of the Nile,1985.0
7590,2546472,/m/07m7ls,Friday the 13th Part VII: The New Blood,1988-05-13,19170001.0,112.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",56,10281,1988-05-13,Friday the 13th Part VII: The New Blood,Friday the 13th Part VII: The New Blood,1988.0
7642,10069910,/m/02q0t2v,Bloody Murder 2: Closing Camp,2003,0.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher""}",474,103971,2003-02-18,Bloody Murder 2: Closing Camp,Bloody Murder 2: Closing Camp,2003.0
7690,32501058,/m/0h1f596,Return of the Boogeyman,1994,0.0,76.0,{},{},"{""/m/03npn"": ""Horror""}",564,201252,1994-05-05,Return of the Boogeyman,Return of the Boogeyman,1994.0
7952,2073543,/m/06k9h8,War of the Gargantuas,1966,0.0,92.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema""}",347,3146,1966-07-31,フランケンシュタインの怪獣 サンダ対ガイラ,The War of the Gargantuas,1966.0
8183,4118310,/m/0bk2mh,Tarzan & Jane,2002-07-23,0.0,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3myq"": ""Children's/Family"", ""/m/0hqxf"": ""Family Film"", ""/m/0hcr"": ""Animation"", ""/m/03k9fj"": ""Adventure"", ""/m/095bb"": ""Animated cartoon""}",28,13683,2002-06-24,Tarzan & Jane,Tarzan & Jane,2002.0
8342,877225,/m/03kyt8,The Crow: Salvation,2000-01-23,0.0,102.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action""}",168,9456,2000-01-23,The Crow: Salvation,The Crow: Salvation,2000.0
8355,870946,/m/03k8th,The Bourne Supremacy,2004-07-15,288500217.0,110.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/06b_j"": ""Russian Language"", ""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02n4kr"": ""Mystery"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02kdv5l"": ""Action"", ""/m/0bkbm"": ""Spy""}",45,2502,2004-07-23,The Bourne Supremacy,The Bourne Supremacy,2004.0
8555,3653578,/m/09sfrg,Return of the Fly,1959,0.0,80.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/01q03"": ""Cult"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror""}",270,38126,1959-07-01,Return of the Fly,Return of the Fly,1959.0
8633,28256244,/m/0cp0nwg,The Vengeance of She,1968-05-01,0.0,101.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01hmnh"": ""Fantasy"", ""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure""}",470,64428,1968-04-14,The Vengeance of She,The Vengeance of She,1968.0
8757,2002403,/m/06d6z_,Halloween 6,1995-09-29,15116634.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",104,10987,1995-09-29,Halloween: The Curse of Michael Myers,Halloween: The Curse of Michael Myers,1995.0
8821,173944,/m/017gm7,The Lord of the Rings: The Two Towers,2002-12-05,926047111.0,179.0,"{""/m/05p2d"": ""Old English language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0ctw_b"": ""New Zealand""}","{""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/03k9fj"": ""Adventure"", ""/m/06l3bl"": ""Epic"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/060__y"": ""Film adaptation"", ""/m/07s9rl0"": ""Drama"", ""/m/02kdv5l"": ""Action"", ""/m/0520_cy"": ""Sword and sorcery films""}",3,121,2002-12-18,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002.0
8912,6439718,/m/0g5fsk,FernGully 2: The Magical Rescue,1998,0.0,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hj3myc"": ""Children's Fantasy"", ""/m/0hcr"": ""Animation""}",274,18948,1998-03-17,FernGully 2: The Magical Rescue,FernGully 2: The Magical Rescue,1998.0
9108,1188832,/m/04fs53,Ring 2,1999-07-28,31365000.0,90.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema"", ""/m/0fdjb"": ""Supernatural""}",184,9669,1999-01-23,リング 2,Ring 2,1999.0
9136,1801788,/m/05y48m,More American Graffiti,1979-08-03,8100000.0,111.0,"{""/m/01gmkg"": ""Icelandic Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/09n5t_"": ""Americana"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/04xvlr"": ""Period piece"", ""/m/01j1n2"": ""Coming of age"", ""/m/01z4y"": ""Comedy"", ""/m/0cshrf"": ""Political cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama""}",300,33258,1979-08-03,More American Graffiti,More American Graffiti,1979.0
9171,2303104,/m/0729lc,Herbie Goes Bananas,1980,18000000.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3n26"": ""Family-Oriented Adventure"", ""/m/03k9fj"": ""Adventure""}",222,12129,1980-06-25,Herbie Goes Bananas,Herbie Goes Bananas,1980.0
9198,24203458,/m/07k4h10,Adventures of a Plumber's Mate,1978,0.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/05p553"": ""Comedy film""}",583,86185,1978-07-01,Adventures of a Plumber's Mate,Adventures of a Plumber's Mate,1978.0
9325,2035081,/m/06gplg,Dracula Has Risen from the Grave,1968-11-07,0.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/03npn"": ""Horror"", ""/m/0hj3m_c"": ""Costume Horror""}",344,29778,1968-11-07,Dracula Has Risen from the Grave,Dracula Has Risen from the Grave,1968.0
9345,2313660,/m/0732_0,Friday the 13th Part VI: Jason Lives,1986-08-01,19472057.0,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen"", ""/m/0fdjb"": ""Supernatural""}",61,10225,1986-08-01,Friday the 13th Part VI: Jason Lives,Friday the 13th Part VI: Jason Lives,1986.0
9438,26378027,/m/0bbzx8m,How to Meet the Lucky Stars,1996,0.0,112.0,{},"{""/m/03h64"": ""Hong Kong""}","{""/m/0gw5qqq"": ""Chinese Movies""}",278,63033,1996-07-04,運財五福星,How to Meet the Lucky Stars,1996.0
9507,8675614,/m/027dkz6,Leprechaun 2,1994-04-08,2260622.0,85.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/01q03"": ""Cult"", ""/m/01585b"": ""Slasher""}",107,18009,1994-04-08,Leprechaun 2,Leprechaun 2,1994.0
9536,10956794,/m/02qw5q2,Love's Enduring Promise,2004,0.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04p5fxn"": ""Christian film"", ""/m/015w9s"": ""Television movie"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",180,20641,2004-11-20,Love's Enduring Promise,Love's Enduring Promise,2004.0
9691,1172977,/m/04dcpy,Force 10 from Navarone,1978-08-16,7100000.0,126.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure"", ""/m/082gq"": ""War film""}",186,17339,1978-08-16,Force 10 from Navarone,Force 10 from Navarone,1978.0
10540,8114232,/m/026s0_m,Buck Privates Come Home,1947-04-04,2365000.0,77.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/0556j8"": ""Buddy film"", ""/m/01z4y"": ""Comedy"", ""/m/01g6gs"": ""Black-and-white"", ""/m/09q17"": ""Slapstick""}",481,33478,1947-04-04,Buck Privates Come Home,Buck Privates Come Home,1947.0
