,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,id,collection,collection_id
3347,5150937,/m/0d53kr,Cinderella III: A Twist in Time,2007-02-06,,74.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/01hmnh"": ""Fantasy"", ""/m/095bb"": ""Animated cartoon"", ""/m/0hqxf"": ""Family Film"", ""/m/02l7c8"": ""Romance Film""}",16119,Cinderella Collection,55419
3583,24937614,/m/09gdj6s,Nemesis 4: Death Angel,1996,,65.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action""}",60173,Nemesis Collection,286948
3974,9822793,/m/02pt7wb,Death Wish,1974-07-24,22000000.0,93.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action""}",13939,Death Wish Collection,14377
4053,243204,/m/01k8d3,Caligula,1979-08-14,23438120.0,148.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/03rjj"": ""Italy""}","{""/m/0hn10"": ""LGBT"", ""/m/03bxz7"": ""Biographical film"", ""/m/02js9"": ""Erotica"", ""/m/02nxfrh"": ""Adult"", ""/m/04xvh5"": ""Costume drama"", ""/m/02p0szs"": ""Historical fiction"", ""/m/06l3bl"": ""Epic"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/02l7c8"": ""Romance Film"", ""/m/0hj3n6f"": ""Historical Epic"", ""/m/03mqtr"": ""Political drama"", ""/m/03hn0"": ""Historical drama"", ""/m/06b0n3"": ""Sexploitation""}",217497,Kampf um Rom Collection,217499
4801,347235,/m/01yvmf,Wes Craven's New Nightmare,1994-08,18090181.0,114.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen"", ""/m/0fdjb"": ""Supernatural""}",11596,A Nightmare on Elm Street Collection,8581
5015,16072264,/m/03qn9px,Chained Heat,1983-05-27,6149983.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/082fr"": ""West Germany""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/05r6jc"": ""Women in prison films"", ""/m/06b0n3"": ""Sexploitation""}",18406,Chained Heat Collection,643572
5015,16072264,/m/03qn9px,Chained Heat,1983-05-27,6149983.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/082fr"": ""West Germany""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/05r6jc"": ""Women in prison films"", ""/m/06b0n3"": ""Sexploitation""}",52315,Chained Heat Collection,643572
5066,1632587,/m/05j6ln,The Bad News Bears in Breaking Training,1977-07-08,,99.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/01z02hx"": ""Sports"", ""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy"", ""/m/018jz"": ""Baseball""}",19050,The Bad News Bears Collection,215326
5955,50957,/m/0dfw0,Star Wars Episode II: Attack of the Clones,2002-05-16,649398328.0,142.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/070yc"": ""Space opera"", ""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/01xpr_s"": ""Movies About Gladiators"", ""/m/0hqxf"": ""Family Film""}",1894,Star Wars Collection,10
6601,68124,/m/0hv8w,American Graffiti,1973-08-01,140000000.0,108.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/09n5t_"": ""Americana"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/02b5_l"": ""Teen"", ""/m/04xvlr"": ""Period piece"", ""/m/01j1n2"": ""Coming of age"", ""/m/01z4y"": ""Comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/03pgfj"": ""New Hollywood""}",838,American Graffiti Collection,124950
6653,9811711,/m/02pszhh,Weird Woman,1944,,63.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",64076,Inner Sanctum Mysteries Collection,1005941
6693,3038038,/m/08md65,A Nightmare on Elm Street 4: The Dream Master,1988-08-19,49369899.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen"", ""/m/0fdjb"": ""Supernatural""}",10131,A Nightmare on Elm Street Collection,8581
6828,529276,/m/02l_j_,Jaws: The Revenge,1987-07-17,51881013.0,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/06vxwl5"": ""Natural horror films"", ""/m/02kdv5l"": ""Action"", ""/m/03npn"": ""Horror"", ""/m/01jfsb"": ""Thriller""}",580,Jaws Collection,2366
6874,2055366,/m/06hysr,Dracula's Daughter,1936-05-11,,70.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01g6gs"": ""Black-and-white""}",22440,Dracula (Universal) Collection,221539
7045,3737477,/m/09y5zb,Don't Lose Your Head,1966,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/0hj3msd"": ""Adventure Comedy"", ""/m/01z4y"": ""Comedy""}",5061,Carry On Collection,918027
7690,32501058,/m/0h1f596,Return of the Boogeyman,1994,,76.0,{},{},"{""/m/03npn"": ""Horror""}",201252,The Boogey Man Collection,715105
7849,733657,/m/036qg5,Carry On Cleo,1964,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",5066,Carry On Collection,918027
7952,2073543,/m/06k9h8,War of the Gargantuas,1966,,92.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema""}",3146,Frankenstein (Toho) Collection,491768
8183,4118310,/m/0bk2mh,Tarzan & Jane,2002-07-23,,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3myq"": ""Children's/Family"", ""/m/0hqxf"": ""Family Film"", ""/m/0hcr"": ""Animation"", ""/m/03k9fj"": ""Adventure"", ""/m/095bb"": ""Animated cartoon""}",13683,Tarzan (Animation) Collection,106768
8373,9823573,/m/02pt8cw,Death Wish 4: The Crackdown,1987-11-06,6880310.0,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action""}",26263,Death Wish Collection,14377
8407,34312285,/m/0hyp0b8,Paranormal Activity 4,2012-10-18,91941891.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",82990,Paranormal Activity Collection,41437
8555,3653578,/m/09sfrg,Return of the Fly,1959,,80.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/01q03"": ""Cult"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror""}",38126,The Fly Collection,123213
8821,173944,/m/017gm7,The Lord of the Rings: The Two Towers,2002-12-05,926047111.0,179.0,"{""/m/05p2d"": ""Old English language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0ctw_b"": ""New Zealand""}","{""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/03k9fj"": ""Adventure"", ""/m/06l3bl"": ""Epic"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/060__y"": ""Film adaptation"", ""/m/07s9rl0"": ""Drama"", ""/m/02kdv5l"": ""Action"", ""/m/0520_cy"": ""Sword and sorcery films""}",121,The Lord of the Rings Collection,119
8871,19942818,/m/04y9mm8,Piranha 3-D,2010-08-20,83188165.0,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/03npn"": ""Horror"", ""/m/0jdm8"": ""Remake"", ""/m/01q03"": ""Cult"", ""/m/01z4y"": ""Comedy"", ""/m/02kdv5l"": ""Action""}",43593,Piranha 3D Collection,104830
9136,1801788,/m/05y48m,More American Graffiti,1979-08-03,8100000.0,111.0,"{""/m/01gmkg"": ""Icelandic Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/09n5t_"": ""Americana"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/04xvlr"": ""Period piece"", ""/m/01j1n2"": ""Coming of age"", ""/m/01z4y"": ""Comedy"", ""/m/0cshrf"": ""Political cinema"", ""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama""}",33258,American Graffiti Collection,124950
9340,992419,/m/03xcv3,Rock 'n' Roll High School,1979-08-04,,84.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/05r6t"": ""Punk rock"", ""/m/0219x_"": ""Indie"", ""/m/01hwc6"": ""Absurdism"", ""/m/0220p9g"": ""Musical comedy"", ""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy""}",26326,Rock 'n' Roll High School Collection,1018344
9691,1172977,/m/04dcpy,Force 10 from Navarone,1978-08-16,7100000.0,126.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure"", ""/m/082gq"": ""War film""}",17339,Navarone Collection,366826
10666,9016141,/m/027tj6p,Dead or Alive 2: Birds,2000,,97.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/01jfsb"": ""Thriller"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03q4nz"": ""World cinema"", ""/m/073_6"": ""Surrealism"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action""}",13899,Dead or Alive Collection,192532
11322,6555711,/m/025txkz,Carry On Matron,1972,,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",24571,Carry On Collection,918027
11327,3694594,/m/09vvp4,Carry On Regardless,1961-04-01,,90.0,"{""/m/06mp7"": ""Swedish Language"", ""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy""}",32115,Carry On Collection,918027
11331,6555707,/m/025txkl,Carry On Loving,1970,,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/0gf28"": ""Parody"", ""/m/0gsy3b"": ""Sex comedy"", ""/m/01z4y"": ""Comedy""}",24570,Carry On Collection,918027
11362,6555693,/m/025txk7,Carry On Emmannuelle,1978,,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/0gsy3b"": ""Sex comedy"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",34743,Carry On Collection,918027
11572,3078987,/m/08pyzc,Carry On Girls,1973,,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/0gsy3b"": ""Sex comedy"", ""/m/01z4y"": ""Comedy""}",26329,Carry On Collection,918027
11810,5906516,/m/0fcxv6,"Silent Night, Deadly Night 5: The Toy Maker",1991,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",70984,"Silent Night, Deadly Night Collection",256296
11888,5113356,/m/0d3711,Pumpkinhead: Ashes to Ashes,2006,,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/06c1y"": ""Romania"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0g092b"": ""Monster movie"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0fdjb"": ""Supernatural""}",35978,Pumpkinhead Collection,123256
12047,1059280,/m/042fgh,Superman II,1981-03-20,108185706.0,116.0,"{""/m/064_8sq"": ""French Language"", ""/m/06b_j"": ""Russian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hj3mt0"": ""Alien Film"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}",8536,Superman Collection,8537
12077,24642031,/m/0808t3w,The Human Centipede,2010-04-30,252207.0,91.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom"", ""/m/059j2"": ""Netherlands""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema"", ""/m/01q03"": ""Cult"", ""/m/07s9rl0"": ""Drama"", ""/m/01585b"": ""Slasher""}",37169,The Human Centipede Collection,96671
12736,3723947,/m/09xbpt,Ocean's Thirteen,2007-05-24,311312624.0,121.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0hj3n0w"": ""Ensemble Film"", ""/m/016vh2"": ""Caper story"", ""/m/0hj3nbs"": ""Master Criminal Films"", ""/m/01z4y"": ""Comedy""}",298,Ocean's Collection,304
13200,2168542,/m/06rz71,Breakin',1984-05-03,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04dn71w"": ""Dance"", ""/m/0219x_"": ""Indie"", ""/m/026v1nw"": ""Hip hop movies"", ""/m/05p553"": ""Comedy film"", ""/m/04t36"": ""Musical"", ""/m/01j1n2"": ""Coming of age"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film""}",15259,Breakin' Collection,92222
13204,2990847,/m/08j4q_,It's Alive,1974-10,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/03npn"": ""Horror""}",28153,It's Alive Collection,256297
13500,301574,/m/01ry_x,The Little Mermaid,1989-11-17,211343479.0,82.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04xvh5"": ""Costume drama"", ""/m/0hcr"": ""Animation"", ""/m/04t36"": ""Musical"", ""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/0hqxf"": ""Family Film""}",10144,The Little Mermaid Collection,33085
13756,2384316,/m/0785cx,Carry On Sergeant,1958-08-01,,84.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01z4y"": ""Comedy""}",32110,Carry On Collection,918027
14389,2680994,/m/07xkmm,"Silent Night, Deadly Night Part 2",1987-04-10,154323.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/01585b"": ""Slasher""}",50719,"Silent Night, Deadly Night Collection",256296
14389,2680994,/m/07xkmm,"Silent Night, Deadly Night Part 2",1987-04-10,154323.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/01585b"": ""Slasher""}",42709,"Silent Night, Deadly Night Collection",256296
14458,179044,/m/018f9n,The Jerk,1979-12-14,73691419.0,104.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04rlf"": ""Music"", ""/m/06qm3"": ""Screwball comedy"", ""/m/09q17"": ""Slapstick"", ""/m/01z4y"": ""Comedy"", ""/m/01hwc6"": ""Absurdism""}",6471,The Jerk Collection,983340
14538,3858746,/m/0b3n61,Madagascar: Escape 2 Africa,2008-10-30,602308178.0,89.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/01zhp"": ""Computer Animation"", ""/m/0hcr"": ""Animation"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}",10527,Madagascar Collection,14740
14782,20344329,/m/0crt8lg,Tomie: Re-birth,2001,,95.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema""}",52408,Tomie Collection,139394
14838,1059701,/m/042g97,Superman III,1983-06-16,,125.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}",9531,Superman Collection,8537
14916,30695973,/m/0h1f30d,Paranormal Activity 3,2011-10-14,205703818.0,81.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02n4kr"": ""Mystery"", ""/m/03npn"": ""Horror""}",72571,Paranormal Activity Collection,41437
15001,2251266,/m/06z8s_,Ocean's Eleven,2001-12-05,450717150.0,117.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language"", ""/m/012w70"": ""Cantonese""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/04btyz"": ""Heist"", ""/m/0jdm8"": ""Remake"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01jfsb"": ""Thriller"", ""/m/01z4y"": ""Comedy"", ""/m/02kdv5l"": ""Action""}",161,Ocean's Collection,304
15249,21153376,/m/05c26ss,Madagascar 3: Europe's Most Wanted,2012-05-18,716891482.0,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/03k9fj"": ""Adventure"", ""/m/0hcr"": ""Animation"", ""/m/01z4y"": ""Comedy""}",80321,Madagascar Collection,14740
15296,5106720,/m/0d2ylv,Candyman: Farewell to the Flesh,1995-03-17,13940383.0,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher""}",10824,Candyman Collection,98580
15412,18161370,/m/04csx59,The False Faces,1919-02-16,,97.0,"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06ppq"": ""Silent film"", ""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}",174942,Lone Wolf Collection,395433
15594,1934018,/m/0676by,Grumpy Old Men,1993-12-25,,104.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/0556j8"": ""Buddy film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/09q17"": ""Slapstick""}",15602,Grumpy Old Men Collection,119050
15594,1934018,/m/0676by,Grumpy Old Men,1993-12-25,,104.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/0556j8"": ""Buddy film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/09q17"": ""Slapstick""}",11520,Grumpy Old Men Collection,119050
15694,50744,/m/0ddjy,Star Wars Episode VI: Return of the Jedi,1983-05-25,475106177.0,135.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/070yc"": ""Space opera"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}",1892,Star Wars Collection,10
16079,3737168,/m/09y5cb,Carry On Cowboy,1965,,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/0hfjk"": ""Western"", ""/m/0hj3mzj"": ""Comedy Western"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",5065,Carry On Collection,918027
17038,5260111,/m/0dbbyk,Beware! The Blob,1972,,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/03npn"": ""Horror"", ""/m/06n90"": ""Science Fiction""}",40983,The Blob Collection,422193
