,id,release_date,original_title,title,Wikipedia movie ID
201,15257,2009-01-27,Hulk vs. Wolverine,Hulk vs. Wolverine,33700618
202,1150537,2023-10-17,"Justice League x RWBY: Super Heroes & Huntsmen, Part Two","Justice League x RWBY: Super Heroes & Huntsmen, Part Two",73095851
203,1003579,2023-03-10,Batman: The Doom That Came to Gotham,Batman: The Doom That Came to Gotham,73448646
204,14830,2007-08-14,Doctor Strange,Doctor Strange,59353603
205,11814,1985-08-01,Weird Science,Weird Science,241171
206,4147,2002-07-12,Road to Perdition,Road to Perdition,342741
207,183011,2013-07-30,Justice League: The Flashpoint Paradox,Justice League: The Flashpoint Paradox,38629260
208,14609,2006-02-21,Ultimate Avengers: The Movie,Ultimate Avengers: The Movie,2952825
209,8536,1980-12-12,Superman II,Superman II,1059280
210,14613,2008-09-02,Next Avengers: Heroes of Tomorrow,Next Avengers: Heroes of Tomorrow,33700618
211,9067,1995-03-31,Tank Girl,Tank Girl,9415710
212,133601,2012-08-22,이웃사람,The Neighbors,36064440
213,9482,1995-06-30,Judge Dredd,Judge Dredd,2408918
214,9651,1984-07-01,Supergirl,Supergirl,1616817
215,9059,1995-01-13,Tales from the Crypt: Demon Knight,Tales from the Crypt: Demon Knight,706861
216,11047,1967-12-20,Astérix le Gaulois,Asterix the Gaul,743958
217,12593,1972-04-12,Fritz the Cat,Fritz the Cat,3058252
218,69735,2011-09-27,Batman: Year One,Batman: Year One,13375677
219,64883,2000-11-01,Faust: Love of the Damned,Faust: Love of the Damned,3041635
220,487242,2018-03-23,Suicide Squad: Hell to Pay,Suicide Squad: Hell to Pay,56289267
221,10658,1986-08-01,Howard the Duck,Howard the Duck,6551171
222,516632,2020-10-22,The Empty Man,The Empty Man,51126878
223,9480,2003-02-14,Daredevil,Daredevil,1129847
224,8867,1989-10-05,The Punisher,The Punisher,2876564
225,137227,2011-03-05,映画ドラえもん 新・のび太と鉄人兵団 ～はばたけ 天使たち～,Doraemon: Nobita and the New Steel Troops: Winged Angels,27986651
226,59,2005-09-23,A History of Violence,A History of Violence,1726126
227,13640,2007-09-18,Superman: Doomsday,Superman: Doomsday,8928586
228,9564,1999-02-03,Astérix & Obélix contre César,Asterix & Obelix Take on Caesar,8636365
229,11867,1996-05-02,Barb Wire,Barb Wire,4506211
230,17445,2009-07-28,Green Lantern: First Flight,Green Lantern: First Flight,21755178
231,119569,2012-08-29,Marvel One-Shot: Item 47,Marvel One-Shot: Item 47,46743209
232,3687,1974-07-30,Flesh Gordon,Flesh Gordon,2493454
233,2994,1968-01-24,Diabolik,Danger: Diabolik,2952273
234,16460,2007-09-30,Garfield Gets Real,Garfield Gets Real,12134356
235,10336,1997-07-31,Spawn,Spawn,1397876
236,100241,2014-01-22,"I, Frankenstein","I, Frankenstein",34914699
237,251768,2014-01-21,JLA Adventures: Trapped in Time,JLA Adventures: Trapped in Time,41681194
238,17918,1982-01-01,Swamp Thing,Swamp Thing,5929445
239,529106,2021-04-01,Майор Гром: Чумной Доктор,Major Grom: Plague Doctor,63618497
